iso,country_name,year,A1,A2,A3,A_avg,B4,B5,B6,B_avg,C7,C8,C9,C10,C11,C_avg,D12,D13,D14,D15,D16,D_avg,portfolio,overall_rating,data_source
BGD,Bangladesh,2014,4.5,4.5,4.5,4.5,3.5,4,3,3.5,4.5,4.5,4.5,4,4,4.3,4,4,4,3.5,4,3.9,4.5,4.1,ADB_CPA
BGD,Bangladesh,2015,4.5,4.5,4.5,4.5,3.5,4,3,3.5,4.5,4.5,4.5,4,4,4.3,4,4,4,3.5,4,3.9,4.5,4.1,ADB_CPA
BGD,Bangladesh,2016,4.5,4,5,4.5,4,4,3,3.7,4.5,4.5,4.5,4,4,4.3,4,4,4,3.5,3.5,3.8,4.5,4.1,ADB_CPA
BGD,Bangladesh,2017,,,,,,,,,,,,,,,,,,,,,,,ADB_CPA
BGD,Bangladesh,2018,4.5,4,5,4.5,4,3.5,3,3.5,4.5,4.5,4.5,4,3.5,4.2,3.5,4,4,4,3.5,3.8,4.5,4,ADB_CPA
BGD,Bangladesh,2019,,,,,,,,,,,,,,,,,,,,,,,ADB_CPA
BGD,Bangladesh,2020,5,4.5,5.5,5,4,4,3,3.7,4.5,4.5,4.5,4,4,4.3,4,4,4,4,3.5,3.9,4,4.2,ADB_CPA
BTN,Bhutan,2010,4.5,4.5,4.5,4.5,4,3,3.5,3.5,4.5,4,4.5,4,5,4.4,4.5,4.5,5,5,4.5,4.7,3,4.3,ADB_CPA
BTN,Bhutan,2011,4.5,4.5,4.5,4.5,4,3,3.5,3.5,4.5,4,4.5,4,5,4.4,4.5,4.5,5,5,4.5,4.7,3.5,4.3,ADB_CPA
BTN,Bhutan,2012,4.5,4.5,4.5,4.5,4,3.5,3.5,3.7,4.5,4.5,5,4.5,5.5,4.8,4.5,4.5,5,5.5,4.5,4.8,3.5,4.4,ADB_CPA
BTN,Bhutan,2013,4.5,4.5,4.5,4.5,4,3.5,3.5,3.7,4.5,4.5,5,4.5,5.5,4.8,4.5,4.5,5,5.5,4.5,4.8,4,4.4,ADB_CPA
BTN,Bhutan,2014,3.5,4,4.5,4,4,4,4,4,4.5,5,5,4,5,4.7,5,4.5,5,5.5,5,5,4.5,4.4,ADB_CPA
BTN,Bhutan,2015,3.5,4,4.5,4,4,4,4,4,4.5,5,5,4,5,4.7,5,4.5,5,5.5,5,5,4.5,4.4,ADB_CPA
BTN,Bhutan,2016,4,4,4.5,4.2,4,4,4,4,4.5,5,5.5,4,5,4.8,5,4.5,5,5.5,5,5,4.5,4.5,ADB_CPA
BTN,Bhutan,2017,,,,,,,,,,,,,,,,,,,,,,,ADB_CPA
BTN,Bhutan,2018,4,4,4.5,4.2,4.5,4,4,4.2,4.5,5,5.5,4,5,4.8,5,4.5,5,5.5,5,5,3.5,4.5,ADB_CPA
BTN,Bhutan,2019,,,,,,,,,,,,,,,,,,,,,,,ADB_CPA
BTN,Bhutan,2020,4.5,4.5,4.5,4.5,4.5,4,4,4.2,4.5,5,5.5,4.5,5,4.9,5,4.5,5,5.5,5,5,4,4.6,ADB_CPA
KHM,Cambodia,2010,4.5,4,4,4.2,4,4.5,3.5,4,4,4.5,4.5,3.5,3.5,4,3.5,4,4,3.5,3.5,3.7,3.5,4,ADB_CPA
KHM,Cambodia,2011,4.5,4,4.5,4.3,4,4,3.5,3.8,4,4.5,4.5,3.5,3.5,4,3.5,4,4,3.5,4,3.8,3.5,4,ADB_CPA
KHM,Cambodia,2012,4.5,4.5,5,4.7,4.5,4.5,3.5,4.2,4.5,4.5,4.5,3.5,3.5,4.1,3.5,4.5,4,4,4,4,3,4.2,ADB_CPA
KHM,Cambodia,2013,4.5,4.5,5,4.7,4.5,4,3.5,4,4.5,4,4,3.5,3.5,3.9,3.5,4.5,4,4,3.5,3.9,3,4.1,ADB_CPA
KHM,Cambodia,2014,4.5,4.5,5,4.7,4.5,4,4,4.2,4.5,4,4.5,3.5,3.5,4,4,4.5,4,4,3.5,4,3.5,4.2,ADB_CPA
KHM,Cambodia,2015,4.5,4.5,5,4.7,4.5,4,4,4.2,4.5,4,4.5,3.5,3.5,4,4,4.5,4,4,3.5,4,4,4.2,ADB_CPA
KHM,Cambodia,2016,4.5,4,5,4.5,4.5,4,4,4.2,4.5,4,4.5,3.5,3.5,4,4,4.5,4,4,3,3.9,4,4.1,ADB_CPA
KHM,Cambodia,2017,,,,,,,,,,,,,,,,,,,,,,,ADB_CPA
KHM,Cambodia,2018,4.5,4,5,4.5,4.5,4,4,4.2,4.5,4,4.5,3.5,3,3.9,4,4.5,4,4,3,3.9,3.5,4.1,ADB_CPA
KHM,Cambodia,2019,,,,,,,,,,,,,,,,,,,,,,,ADB_CPA
KHM,Cambodia,2020,4.5,4.5,5,4.7,5,4,4,4.3,4.5,4,4.5,4,3.5,4.1,3.5,4.5,4,4,3,3.8,3,4.2,ADB_CPA
GEO,Georgia,2010,4.5,4.5,4.5,4.5,5.5,3.5,5.5,4.8,4.5,5,5,4.5,3.5,4.5,4,4.5,5,4,4,4.3,3,4.5,ADB_CPA
GEO,Georgia,2011,4.5,4.5,4.5,4.5,5.5,4,5.5,5,4.5,5,5,4.5,3,4.4,4,5,5.5,4.5,4,4.6,3.5,4.6,ADB_CPA
GEO,Georgia,2012,4.5,4.5,5,4.7,5.5,3.5,5.5,4.8,4.5,4.5,4.5,4.5,3,4.2,4,5,5.5,4.5,4,4.6,3.5,4.6,ADB_CPA
GEO,Georgia,2013,4.5,4.5,5,4.7,6,3.5,5.5,5,4.5,4.5,5,4.5,3,4.3,4,5,5.5,4.5,4,4.6,2.5,4.6,ADB_CPA
GEO,Georgia,2014,4.5,4.5,5,4.7,6,4,5.5,5.2,4.5,4.5,5.5,4.5,3,4.4,4.5,5,5.5,4.5,4,4.7,4,4.7,ADB_CPA
GEO,Georgia,2015,4.5,4.5,5,4.7,6,4,5.5,5.2,4.5,4.5,5.5,4.5,3,4.4,4.5,5,5.5,4.5,4,4.7,4.5,4.7,ADB_CPA
GEO,Georgia,2016,,,,,,,,,,,,,,,,,,,,,,,ADB_CPA
GEO,Georgia,2017,,,,,,,,,,,,,,,,,,,,,,,ADB_CPA
GEO,Georgia,2018,,,,,,,,,,,,,,,,,,,,,,,ADB_CPA
GEO,Georgia,2019,,,,,,,,,,,,,,,,,,,,,,,ADB_CPA
GEO,Georgia,2020,,,,,,,,,,,,,,,,,,,,,,,ADB_CPA
KIR,Kiribati,2010,2,2,3.5,2.5,2.5,3,2.5,2.7,3,3,3,3,3,3,3,2.5,3,2.5,3,2.8,3.5,2.7,ADB_CPA
KIR,Kiribati,2011,2,2,3.5,2.5,2.5,3,2.5,2.7,3,2.5,3,3,3,2.9,3,2,3,2.5,3,2.7,3.5,2.7,ADB_CPA
KIR,Kiribati,2012,3,3,3.5,3.2,3,3,2.5,2.8,3.5,3,3,3,3,3.1,3,2,3,3,3,2.8,3.5,3,ADB_CPA
KIR,Kiribati,2013,3,3,3,3,3,3,2.5,2.8,3.5,3,3,3.5,3,3.2,3.5,2,3,3,3,2.9,2.5,3,ADB_CPA
KIR,Kiribati,2014,3,3.5,3.5,3.3,3,2.5,2.5,2.7,3,3,3.5,3.5,3,3.2,3.5,2.5,3,3,3,3,3,3.1,ADB_CPA
KIR,Kiribati,2015,3,3.5,3.5,3.3,3,2.5,2.5,2.7,3,3,3.5,3.5,3,3.2,3.5,2.5,3,3,3,3,3,3.1,ADB_CPA
KIR,Kiribati,2016,3,3.5,3,3.2,3,2.5,2,2.5,3,3,3.5,3.5,3,3.2,3.5,2.5,3,3,2.5,2.9,4.5,2.9,ADB_CPA
KIR,Kiribati,2017,,,,,,,,,,,,,,,,,,,,,,,ADB_CPA
KIR,Kiribati,2018,4,3.5,2.5,3.3,3,2.5,2,2.5,3,3,3.5,3.5,2.5,3.1,3.5,2.5,3,3,2.5,2.9,4.5,3,ADB_CPA
KIR,Kiribati,2019,,,,,,,,,,,,,,,,,,,,,,,ADB_CPA
