iso,country_name,year,fsi_total,C1: Security Apparatus,C2: Factionalized Elites,C3: Group Grievance,E1: Economy,E2: Economic Inequality,E3: Human Flight and Brain Drain,P1: State Legitimacy,P2: Public Services,P3: Human Rights,S1: Demographic Pressures,S2: Refugees and IDPs,X1: External Intervention,data_source
FJI,Fiji,2019,71.7,6.8,7.9,6.3,5.9,5.7,8.2,6.3,4.4,6.3,4.1,2.7,7.1,FSI
GEO,Georgia,2019,72,6.2,9.1,7.3,5.6,4.9,4.9,8.1,3.7,5,3.1,6.9,7.2,FSI
IND,India,2019,74.4,7.2,7.3,8,5.3,6.4,6.1,4.1,6.8,5.6,7.7,4.7,5.1,FSI
IDN,Indonesia,2019,70.4,5.9,7.1,7.3,4.5,5.2,6.9,4.5,5.3,7,7.3,4.8,4.6,FSI
JPN,Japan,2019,34.3,1.6,2.6,3.1,3.5,1.4,3.3,0.9,1.6,3.2,6.2,3.8,3.2,FSI
KAZ,Kazakhstan,2019,61.6,4.6,7.6,8.1,5.6,3.6,3.6,8.5,3.4,6.7,3.9,2.4,3.6,FSI
KGZ,Kyrgyz Republic,2019,76.2,6.5,8,8.1,6.4,5.3,7,7.1,4.5,6.9,5.3,4.7,6.4,FSI
LAO,Laos,2019,78.7,5,8.3,6.7,5.4,5.9,7.4,9,6.4,7.3,6.7,5.1,5.5,FSI
MYS,Malaysia,2019,60.5,5.8,6.8,6,3.1,4.5,5.1,6.9,3.6,7.4,4.7,3.4,3.2,FSI
MDV,Maldives,2019,69.8,5.8,8.6,4.2,5.3,3,6.2,8.3,5.2,7.7,5.4,4.1,5.9,FSI
FSM,Micronesia,2019,73,4,5.6,3.7,8.2,7.7,9.6,4.9,5.4,3.8,6.3,3.9,9.9,FSI
MNG,Mongolia,2019,54.1,3.2,5.5,3.2,4.8,5.8,3.8,4.1,4.8,4.2,4.9,2.6,7.2,FSI
MMR,Myanmar,2019,94.3,8.7,8,9.8,5.3,7.1,6.9,8.3,8.3,9.3,5.8,9.1,7.7,FSI
NPL,Nepal,2019,84.7,5.9,8.8,9.7,5.6,6.1,6.2,6.6,6.6,7.1,8.4,7.2,6.5,FSI
NZL,New Zealand,2019,20.1,1.4,1.4,3.2,3.2,1.9,2.3,0.6,1,0.8,1.7,1.7,0.9,FSI
PAK,Pakistan,2019,94.2,8.5,9.3,9.4,6.3,5.9,6.8,7.9,8,7.4,7.8,8.1,8.8,FSI
PNG,Papua New Guinea,2019,83.1,6.7,7.1,5.7,6.4,8.8,7.1,6.2,9.1,7,8.1,4.6,6.2,FSI
PHL,Philippines,2019,83.1,9.5,8,7.9,4.9,5.1,6,7.2,6.1,7.4,7.5,6.9,6.6,FSI
WSM,Samoa,2019,64.2,4.1,5.1,4.2,6.2,4.3,9.5,4.9,4.3,3.9,5.1,2.9,9.7,FSI
SGP,Singapore,2019,28.1,1,4,2,1.4,3.2,2.7,3.9,1,4.6,2.2,1.1,1,FSI
SLB,Solomon Islands,2019,81.9,5.9,8.2,5.9,7.1,8.4,6.9,6.2,7.8,4.6,7.7,4.4,8.8,FSI
KOR,South Korea,2019,33.7,2.1,3.9,2.7,1.9,2.4,3.7,3.6,1.3,3.2,2.3,1.6,5,FSI
LKA,Sri Lanka,2019,84,6.8,9.1,9,5.5,6.5,7.1,6.9,4.5,8.4,6,7.8,6.3,FSI
TJK,Tajikistan,2019,77.7,6.1,8.4,6.8,6.7,4.5,6,9,5.2,8.6,7.3,3.8,5.3,FSI
THA,Thailand,2019,73.1,8.4,9.4,7.9,3.2,4.7,4.7,7.8,3.8,8.1,6.2,5.7,3.2,FSI
TLS,Timor-Leste,2019,85.5,6.6,8.3,5.9,7.5,6.8,7.6,6.1,7.9,4.7,9.2,5.7,9.2,FSI
TKM,Turkmenistan,2019,71.4,5.7,7.8,6,5.3,6.4,5.1,9.7,5,8.9,5.1,2.9,3.5,FSI
UZB,Uzbekistan,2019,75.7,6.8,8.8,6.6,5.8,6.2,5.5,9.5,4.4,7.9,5.1,5,4.1,FSI
VNM,Vietnam,2019,66.1,4.2,6.9,5.8,4.3,4.2,5.9,8.4,4.1,7.8,5.5,4.1,4.9,FSI
AFG,Afghanistan,2018,106.6,10,8.6,8.1,8.3,7.8,8.1,9.1,10,8.2,9.2,9.9,9.4,FSI
ARM,Armenia,2018,69.5,5.2,7.4,5.8,6.6,4.2,6.1,8.1,3.4,6.9,2.8,6.7,6.4,FSI
