iso,year,migrant_stock,refugee_stock,disaster_displacement,conflict_displacement,climate_change,air_quality,rule_of_law,gov_effectiveness,corruption_control,state_legit,cpa_d_12,cpa_d_avg,gdp,hdi_value,gini,country_name,region,donor,sids,ldc
MYS,2005,191.8504,4.4531,NA,NA,NA,NA,0.49708969999999997,1.0928229999999999,0.1950662,NA,NA,NA,7.274971097,0.73,NA,Malaysia,Southeast Asia,1,0,0
NIU,2005,0.0522,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Niue,Oceania,0,1,0
NPL,2005,68.0729,12.7708,NA,NA,NA,NA,-0.8157675999999999,-0.8523244000000001,-0.7433895,NA,NA,NA,0.6177939890999999,0.482,NA,Nepal,South Asia,0,0,1
NRU,2005,0.2253,NA,NA,NA,NA,NA,0.7861269000000001,NA,NA,NA,NA,NA,3.3472461940000002,NA,NA,Nauru,Oceania,1,1,0
NZL,2005,83.9952,0.5703,NA,NA,NA,NA,1.858338,1.7463959999999998,2.201448,NA,NA,NA,35.06449646,0.896,NA,New Zealand,Oceania,1,0,0
PAK,2005,317.4558,108.812,NA,NA,NA,NA,-0.8904083,-0.45311809999999997,-1.053138,NA,NA,NA,1.175437453,0.486,32.7,Pakistan,South Asia,0,0,0
PHL,2005,25.7468,0.0138,NA,NA,NA,NA,-0.3501435,-0.040945,-0.6162979000000001,NA,NA,NA,2.0777679829999998,0.654,NA,Philippines,Southeast Asia,0,0,0
PLW,2005,0.6043,NA,NA,NA,NA,NA,0.7861269000000001,NA,NA,NA,NA,NA,13.205504450000001,0.77,NA,Palau,Oceania,0,1,0
PNG,2005,2.9971,1.0003,NA,NA,NA,NA,-1.0037120000000002,-0.875283,-1.131622,NA,NA,NA,1.887673184,0.48,NA,Papua New Guinea,Oceania,0,1,0
SGP,2005,171.0594,NA,NA,NA,NA,NA,1.707485,1.958422,2.16617,NA,NA,NA,41.726114069999994,0.874,NA,Singapore,Southeast Asia,1,1,0
SLB,2005,0.3271,NA,NA,NA,NA,NA,-0.8004045,-0.6683773000000001,0.042112199999999995,NA,NA,NA,1.8266615739999998,0.509,46.1,Solomon Islands,Oceania,0,1,1
THA,2005,219.561,14.9216,NA,NA,NA,NA,0.0458365,0.39629699999999995,-0.19059720000000002,NA,NA,NA,4.412444295,0.696,NA,Thailand,Southeast Asia,1,0,0
TJK,2005,28.0466,0.104,NA,NA,NA,NA,-1.09135,-1.151114,-1.169656,NA,NA,NA,0.630781964,0.607,NA,Tajikistan,Central and West Asia,0,0,0
TKM,2005,21.3053,1.1965,NA,NA,NA,NA,-1.614356,-1.607924,-1.4644840000000001,NA,NA,NA,2.786773872,NA,NA,Turkmenistan,Central and West Asia,0,0,0
