iso,year,migrant_stock,refugee_stock,disaster_displacement,conflict_displacement,climate_change,air_quality,rule_of_law,gov_effectiveness,corruption_control,state_legit,cpa_d_12,cpa_d_avg,gdp,hdi_value,gini,country_name,region,donor,sids,ldc
NRU,1990,0.2815,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Nauru,Oceania,1,1,0
NZL,1990,51.8047,0.4666,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,New Zealand,Oceania,1,0,0
PAK,1990,620.8204,326.5845,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pakistan,South Asia,0,0,0
PHL,1990,15.4071,1.986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Philippines,Southeast Asia,0,0,0
PLW,1990,0.2801,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Palau,Oceania,0,1,0
PNG,1990,3.371,0.8089,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Papua New Guinea,Oceania,0,1,0
SGP,1990,72.7262,0.0146,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Singapore,Southeast Asia,1,1,0
SLB,1990,0.4226,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Solomon Islands,Oceania,0,1,1
THA,1990,52.8693,9.9821,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Thailand,Southeast Asia,1,0,0
TJK,1990,42.89,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tajikistan,Central and West Asia,0,0,0
TKM,1990,30.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Turkmenistan,Central and West Asia,0,0,0
TLS,1990,0.8954,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Timor-Leste,Southeast Asia,0,1,1
TON,1990,0.2911,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tonga,Oceania,0,1,0
TUV,1990,0.0318,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tuvalu,Oceania,0,1,1
UZB,1990,165.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Uzbekistan,Central and West Asia,0,0,0
VNM,1990,2.8118,2.115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Viet Nam,Southeast Asia,0,0,0
VUT,1990,0.2308,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vanuatu,Oceania,0,1,0
WSM,1990,0.3357,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Samoa,Oceania,0,1,0
AFG,1995,7.1522,1.9605,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Afghanistan,South Asia,0,0,1
ARM,1995,69.3999,21.895,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Armenia,Central and West Asia,0,0,0
AUS,1995,415.333,7.9081,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Australia,Oceania,1,0,0
AZE,1995,34.407,23.3682,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Azerbaijan,Central and West Asia,0,0,0
BGD,1995,93.4735,1.0996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bangladesh,South Asia,0,0,1
BRN,1995,8.4748,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Brunei Darussalam,Southeast Asia,1,0,0
BTN,1995,2.7972,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bhutan,South Asia,0,0,1
CHN,1995,44.2198,28.9747,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,People's Republic of China,East Asia,1,0,0
COK,1995,0.2686,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cook Islands,Oceania,0,1,0
FJI,1995,1.3001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Fiji,Oceania,0,1,0
FSM,1995,0.3342,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Federated States of Micronesia,Oceania,0,1,0
GEO,1995,15.2235,0.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Georgia,Central and West Asia,0,0,0
HKG,1995,244.3798,0.5536,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hong Kong, China",East Asia,1,0,0
IDN,1995,37.896,0.0202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Indonesia,Southeast Asia,1,0,0
IND,1995,695.2238,22.748,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,India,South Asia,1,0,0
JPN,1995,136.2371,0.5322,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Japan,East Asia,1,0,0
KAZ,1995,325.1968,1.5561,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Kazakhstan,Central and West Asia,1,0,0
KGZ,1995,51.8338,1.3407,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Kyrgyz Republic,Central and West Asia,0,0,0
KHM,1995,9.223,0.0015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cambodia,Southeast Asia,0,0,1
KIR,1995,0.2223,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Kiribati,Oceania,0,1,1
KOR,1995,12.3886,5e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Republic of Korea,East Asia,1,0,0
LAO,1995,2.3526,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lao People's Democratic Republic,Southeast Asia,0,0,1
LKA,1995,4.0841,0.0016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sri Lanka,South Asia,0,0,0
MDV,1995,1.851,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Maldives,South Asia,0,1,0
MHL,1995,0.148,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Marshall Islands,Oceania,0,1,0
MMR,1995,11.3663,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Myanmar,Southeast Asia,0,0,0
MNG,1995,0.7424,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mongolia,East Asia,0,0,0
MYS,1995,93.7368,2.3323,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Malaysia,Southeast Asia,1,0,0
NIU,1995,0.048,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Niue,Oceania,0,1,0
NPL,1995,69.0225,12.4754,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Nepal,South Asia,0,0,1
NRU,1995,0.2605,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Nauru,Oceania,1,1,0
NZL,1995,58.8617,0.3758,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,New Zealand,Oceania,1,0,0
PAK,1995,366.9308,120.2493,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pakistan,South Asia,0,0,0
PHL,1995,20.7345,0.0783,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Philippines,Southeast Asia,0,0,0
PLW,1995,0.4749,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Palau,Oceania,0,1,0
PNG,1995,3.3526,0.9601,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Papua New Guinea,Oceania,0,1,0
SGP,1995,99.1492,0.0112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Singapore,Southeast Asia,1,1,0
SLB,1995,0.4178,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Solomon Islands,Oceania,0,1,1
THA,1995,80.972,10.6565,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Thailand,Southeast Asia,1,0,0
TJK,1995,34.8347,0.062,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tajikistan,Central and West Asia,0,0,0
TKM,1995,27.3565,2.3323,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Turkmenistan,Central and West Asia,0,0,0
TLS,1995,0.9743,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Timor-Leste,Southeast Asia,0,1,1
TON,1995,0.3274,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tonga,Oceania,0,1,0
TUV,1995,0.0263,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tuvalu,Oceania,0,1,1
UZB,1995,151.2577,0.2627,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Uzbekistan,Central and West Asia,0,0,0
VNM,1995,5.1262,3.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Viet Nam,Southeast Asia,0,0,0
VUT,1995,0.2461,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vanuatu,Oceania,0,1,0
WSM,1995,0.4694,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Samoa,Oceania,0,1,0
AFG,1996,NA,NA,NA,NA,NA,NA,-1.788075,-2.1751669999999996,-1.2917049999999999,NA,NA,NA,NA,NA,NA,Afghanistan,South Asia,0,0,1
ARM,1996,NA,NA,NA,NA,NA,NA,-0.4690985,-0.38056449999999997,-0.4730513,NA,NA,NA,NA,NA,NA,Armenia,Central and West Asia,0,0,0
AUS,1996,NA,NA,NA,NA,NA,NA,1.7133990000000001,1.8005650000000002,1.877356,NA,NA,NA,NA,NA,NA,Australia,Oceania,1,0,0
AZE,1996,NA,NA,NA,NA,NA,NA,-1.201162,-0.9163896,-1.445619,NA,NA,NA,NA,NA,NA,Azerbaijan,Central and West Asia,0,0,0
BGD,1996,NA,NA,NA,NA,NA,NA,-0.9340236999999999,-0.6878501,-0.9696822,NA,NA,NA,NA,NA,NA,Bangladesh,South Asia,0,0,1
BRN,1996,NA,NA,NA,NA,NA,NA,0.8160349,0.9272896999999999,0.478995,NA,NA,NA,NA,NA,NA,Brunei Darussalam,Southeast Asia,1,0,0
BTN,1996,NA,NA,NA,NA,NA,NA,-0.0315036,0.6449225000000001,0.9428385,NA,NA,NA,NA,NA,NA,Bhutan,South Asia,0,0,1
CHN,1996,NA,NA,NA,NA,NA,NA,-0.5455899999999999,-0.3486539,-0.27118949999999997,NA,NA,NA,NA,NA,NA,People's Republic of China,East Asia,1,0,0
FJI,1996,NA,NA,NA,NA,NA,NA,0.3234748,-0.12419269999999999,0.6593026,NA,NA,NA,NA,NA,NA,Fiji,Oceania,0,1,0
FSM,1996,NA,NA,NA,NA,NA,NA,0.8091406,NA,NA,NA,NA,NA,NA,NA,NA,Federated States of Micronesia,Oceania,0,1,0
GEO,1996,NA,NA,NA,NA,NA,NA,-1.256326,-0.6369361,-1.527264,NA,NA,NA,NA,NA,NA,Georgia,Central and West Asia,0,0,0
HKG,1996,NA,NA,NA,NA,NA,NA,0.7505658000000001,1.036225,1.4448940000000001,NA,NA,NA,NA,NA,NA,"Hong Kong, China",East Asia,1,0,0
IDN,1996,NA,NA,NA,NA,NA,NA,-0.4898702999999999,-0.7053357,-0.8641063,NA,NA,NA,NA,NA,NA,Indonesia,Southeast Asia,1,0,0
IND,1996,NA,NA,NA,NA,NA,NA,0.31345619999999996,-0.1116067,-0.3810903,NA,NA,NA,NA,NA,NA,India,South Asia,1,0,0
JPN,1996,NA,NA,NA,NA,NA,NA,1.3478290000000002,0.9102908000000002,1.192312,NA,NA,NA,NA,NA,NA,Japan,East Asia,1,0,0
KAZ,1996,NA,NA,NA,NA,NA,NA,-1.1865379999999999,-0.9584045,-1.1328200000000002,NA,NA,NA,NA,NA,NA,Kazakhstan,Central and West Asia,1,0,0
KGZ,1996,NA,NA,NA,NA,NA,NA,-0.7254733,-0.38056449999999997,-0.9939234,NA,NA,NA,NA,NA,NA,Kyrgyz Republic,Central and West Asia,0,0,0
KHM,1996,NA,NA,NA,NA,NA,NA,-1.194369,-0.7247631,-1.019842,NA,NA,NA,NA,NA,NA,Cambodia,Southeast Asia,0,0,1
KIR,1996,NA,NA,NA,NA,NA,NA,0.8091406,NA,NA,NA,NA,NA,NA,NA,NA,Kiribati,Oceania,0,1,1
KOR,1996,NA,NA,NA,NA,NA,NA,0.7987474,0.4737186,0.3821974,NA,NA,NA,NA,NA,NA,Republic of Korea,East Asia,1,0,0
LAO,1996,NA,NA,NA,NA,NA,NA,-1.04795,-0.6369361,-0.7228339,NA,NA,NA,NA,NA,NA,Lao People's Democratic Republic,Southeast Asia,0,0,1
LKA,1996,NA,NA,NA,NA,NA,NA,0.16126020000000002,-0.1836293,-0.0565393,NA,NA,NA,NA,NA,NA,Sri Lanka,South Asia,0,0,0
MDV,1996,NA,NA,NA,NA,NA,NA,0.0174898,0.9012941999999999,-0.3229406,NA,NA,NA,NA,NA,NA,Maldives,South Asia,0,1,0
MHL,1996,NA,NA,NA,NA,NA,NA,-0.2021535,NA,NA,NA,NA,NA,NA,NA,NA,Marshall Islands,Oceania,0,1,0
MMR,1996,NA,NA,NA,NA,NA,NA,-1.580614,-1.207594,-1.500767,NA,NA,NA,NA,NA,NA,Myanmar,Southeast Asia,0,0,0
MNG,1996,NA,NA,NA,NA,NA,NA,0.20141040000000002,-0.3787304,0.1117585,NA,NA,NA,NA,NA,NA,Mongolia,East Asia,0,0,0
MYS,1996,NA,NA,NA,NA,NA,NA,0.521091,0.5362826999999999,0.3830645,NA,NA,NA,NA,NA,NA,Malaysia,Southeast Asia,1,0,0
NPL,1996,NA,NA,NA,NA,NA,NA,-0.0061753,-0.38056449999999997,-0.6392087,NA,NA,NA,NA,NA,NA,Nepal,South Asia,0,0,1
NRU,1996,NA,NA,NA,NA,NA,NA,0.8091406,NA,NA,NA,NA,NA,NA,NA,NA,Nauru,Oceania,1,1,0
NZL,1996,NA,NA,NA,NA,NA,NA,1.8583939999999999,1.7717669999999999,2.110246,NA,NA,NA,NA,NA,NA,New Zealand,Oceania,1,0,0
PAK,1996,NA,NA,NA,NA,NA,NA,-0.6252896,-0.6241545999999999,-1.22003,NA,NA,NA,NA,NA,NA,Pakistan,South Asia,0,0,0
PHL,1996,NA,NA,NA,NA,NA,NA,0.07451139999999999,-0.3132541,-0.35887179999999996,NA,NA,NA,NA,NA,NA,Philippines,Southeast Asia,0,0,0
PLW,1996,NA,NA,NA,NA,NA,NA,0.8091406,NA,NA,NA,NA,NA,NA,NA,NA,Palau,Oceania,0,1,0
PNG,1996,NA,NA,NA,NA,NA,NA,-0.6169376,-0.34019640000000007,-0.43346720000000005,NA,NA,NA,NA,NA,NA,Papua New Guinea,Oceania,0,1,0
SGP,1996,NA,NA,NA,NA,NA,NA,1.2393450000000001,1.993047,2.107434,NA,NA,NA,NA,NA,NA,Singapore,Southeast Asia,1,1,0
SLB,1996,NA,NA,NA,NA,NA,NA,0.7395181,NA,0.3407821,NA,NA,NA,NA,NA,NA,Solomon Islands,Oceania,0,1,1
THA,1996,NA,NA,NA,NA,NA,NA,0.5396288,0.1802246,-0.361192,NA,NA,NA,NA,NA,NA,Thailand,Southeast Asia,1,0,0
TJK,1996,NA,NA,NA,NA,NA,NA,-1.6481569999999999,-1.406051,-1.273033,NA,NA,NA,NA,NA,NA,Tajikistan,Central and West Asia,0,0,0
TKM,1996,NA,NA,NA,NA,NA,NA,-1.487391,-1.14968,-1.021493,NA,NA,NA,NA,NA,NA,Turkmenistan,Central and West Asia,0,0,0
TLS,1996,NA,NA,NA,NA,NA,NA,-1.568576,NA,NA,NA,NA,NA,NA,NA,NA,Timor-Leste,Southeast Asia,0,1,1
TON,1996,NA,NA,NA,NA,NA,NA,0.8091406,NA,NA,NA,NA,NA,NA,NA,NA,Tonga,Oceania,0,1,0
TUV,1996,NA,NA,NA,NA,NA,NA,0.8091406,NA,NA,NA,NA,NA,NA,NA,NA,Tuvalu,Oceania,0,1,1
TWN,1996,NA,NA,NA,NA,NA,NA,0.7597,0.5534753000000001,0.580821,NA,NA,NA,NA,NA,NA,"Taipei,China",East Asia,1,0,0
UZB,1996,NA,NA,NA,NA,NA,NA,-1.239179,-1.2006430000000001,-1.1288209999999999,NA,NA,NA,NA,NA,NA,Uzbekistan,Central and West Asia,0,0,0
VNM,1996,NA,NA,NA,NA,NA,NA,-0.4824266,-0.5808757,-0.48979890000000004,NA,NA,NA,NA,NA,NA,Viet Nam,Southeast Asia,0,0,0
VUT,1996,NA,NA,NA,NA,NA,NA,0.323561,NA,0.2163094,NA,NA,NA,NA,NA,NA,Vanuatu,Oceania,0,1,0
WSM,1996,NA,NA,NA,NA,NA,NA,0.9479091000000001,0.3885508,-0.026595099999999997,NA,NA,NA,NA,NA,NA,Samoa,Oceania,0,1,0
AFG,1998,NA,NA,NA,NA,NA,NA,-1.7371400000000001,-2.135942,-1.180848,NA,NA,NA,NA,NA,NA,Afghanistan,South Asia,0,0,1
ARM,1998,NA,NA,NA,NA,NA,NA,-0.3647019,-0.47541190000000005,-0.8611854,NA,NA,NA,NA,NA,NA,Armenia,Central and West Asia,0,0,0
AUS,1998,NA,NA,NA,NA,NA,NA,1.8003619999999998,1.6824689999999998,1.849893,NA,NA,NA,NA,NA,NA,Australia,Oceania,1,0,0
AZE,1998,NA,NA,NA,NA,NA,NA,-1.139705,-0.9765212999999999,-1.300265,NA,NA,NA,NA,NA,NA,Azerbaijan,Central and West Asia,0,0,0
BGD,1998,NA,NA,NA,NA,NA,NA,-0.8908103,-0.44047020000000003,-0.7163028,NA,NA,NA,NA,NA,NA,Bangladesh,South Asia,0,0,1
BRN,1998,NA,NA,NA,NA,NA,NA,0.5593166,0.9378154000000001,0.3753247,NA,NA,NA,NA,NA,NA,Brunei Darussalam,Southeast Asia,1,0,0
BTN,1998,NA,NA,NA,NA,NA,NA,0.1627657,0.6075543000000001,1.0002469999999999,NA,NA,NA,NA,NA,NA,Bhutan,South Asia,0,0,1
CHN,1998,NA,NA,NA,NA,NA,NA,-0.45705429999999997,-0.11998230000000001,-0.26811199999999996,NA,NA,NA,NA,NA,NA,People's Republic of China,East Asia,1,0,0
FJI,1998,NA,NA,NA,NA,NA,NA,0.2223946,-0.2641799,0.5021858,NA,NA,NA,NA,NA,NA,Fiji,Oceania,0,1,0
FSM,1998,NA,NA,NA,NA,NA,NA,0.4151353,-0.3988079,-0.1954361,NA,NA,NA,NA,NA,NA,Federated States of Micronesia,Oceania,0,1,0
GEO,1998,NA,NA,NA,NA,NA,NA,-1.241994,-0.5798628,-0.9628553,NA,NA,NA,NA,NA,NA,Georgia,Central and West Asia,0,0,0
HKG,1998,NA,NA,NA,NA,NA,NA,1.017562,1.1475229999999998,1.3457299999999999,NA,NA,NA,NA,NA,NA,"Hong Kong, China",East Asia,1,0,0
IDN,1998,NA,NA,NA,NA,NA,NA,-0.7827358,-0.608823,-1.176364,NA,NA,NA,NA,NA,NA,Indonesia,Southeast Asia,1,0,0
IND,1998,NA,NA,NA,NA,NA,NA,0.3539906,-0.064976,-0.24786999999999998,NA,NA,NA,NA,NA,NA,India,South Asia,1,0,0
JPN,1998,NA,NA,NA,NA,NA,NA,1.386728,1.065328,1.10376,NA,NA,NA,NA,NA,NA,Japan,East Asia,1,0,0
KAZ,1998,NA,NA,NA,NA,NA,NA,-1.067358,-0.79884,-1.017779,NA,NA,NA,NA,NA,NA,Kazakhstan,Central and West Asia,1,0,0
KGZ,1998,NA,NA,NA,NA,NA,NA,-0.7019392,-0.1034535,-0.8411235,NA,NA,NA,NA,NA,NA,Kyrgyz Republic,Central and West Asia,0,0,0
KHM,1998,NA,NA,NA,NA,NA,NA,-1.159139,-1.019837,-1.150196,NA,NA,NA,NA,NA,NA,Cambodia,Southeast Asia,0,0,1
KIR,1998,NA,NA,NA,NA,NA,NA,0.1800276,-0.5322519,-0.5842584,NA,NA,NA,NA,NA,NA,Kiribati,Oceania,0,1,1
KOR,1998,NA,NA,NA,NA,NA,NA,0.8114922,0.3630948,0.3517909,NA,NA,NA,NA,NA,NA,Republic of Korea,East Asia,1,0,0
LAO,1998,NA,NA,NA,NA,NA,NA,-0.9162353000000001,-0.5798628,-0.6033329000000001,NA,NA,NA,NA,NA,NA,Lao People's Democratic Republic,Southeast Asia,0,0,1
LKA,1998,NA,NA,NA,NA,NA,NA,0.0959822,-0.3672959,-0.1476559,NA,NA,NA,NA,NA,NA,Sri Lanka,South Asia,0,0,0
MDV,1998,NA,NA,NA,NA,NA,NA,-0.26352190000000003,0.8848587,-0.3815066,NA,NA,NA,NA,NA,NA,Maldives,South Asia,0,1,0
MHL,1998,NA,NA,NA,NA,NA,NA,-0.2263089,-0.3988079,-0.5842584,NA,NA,NA,NA,NA,NA,Marshall Islands,Oceania,0,1,0
MMR,1998,NA,NA,NA,NA,NA,NA,-1.533952,-1.200367,-1.342322,NA,NA,NA,NA,NA,NA,Myanmar,Southeast Asia,0,0,0
MNG,1998,NA,NA,NA,NA,NA,NA,0.2031094,-0.2613098,0.0555014,NA,NA,NA,NA,NA,NA,Mongolia,East Asia,0,0,0
MYS,1998,NA,NA,NA,NA,NA,NA,0.30341840000000003,0.7605563,0.44970590000000005,NA,NA,NA,NA,NA,NA,Malaysia,Southeast Asia,1,0,0
NPL,1998,NA,NA,NA,NA,NA,NA,-0.012699,-0.6211262,-0.7389180000000001,NA,NA,NA,NA,NA,NA,Nepal,South Asia,0,0,1
NRU,1998,NA,NA,NA,NA,NA,NA,0.9085175,NA,NA,NA,NA,NA,NA,NA,NA,Nauru,Oceania,1,1,0
NZL,1998,NA,NA,NA,NA,NA,NA,1.895288,1.693336,2.2068830000000004,NA,NA,NA,NA,NA,NA,New Zealand,Oceania,1,0,0
PAK,1998,NA,NA,NA,NA,NA,NA,-0.7557318000000001,-0.46459049999999996,-1.0540559999999999,NA,NA,NA,NA,NA,NA,Pakistan,South Asia,0,0,0
PHL,1998,NA,NA,NA,NA,NA,NA,0.0898332,0.025952600000000003,-0.2947631,NA,NA,NA,NA,NA,NA,Philippines,Southeast Asia,0,0,0
PLW,1998,NA,NA,NA,NA,NA,NA,0.9085175,NA,NA,NA,NA,NA,NA,NA,NA,Palau,Oceania,0,1,0
PNG,1998,NA,NA,NA,NA,NA,NA,-0.5729678,-0.5003642,-0.7649102,NA,NA,NA,NA,NA,NA,Papua New Guinea,Oceania,0,1,0
SGP,1998,NA,NA,NA,NA,NA,NA,1.2744540000000002,2.148715,2.1139810000000003,NA,NA,NA,NA,NA,NA,Singapore,Southeast Asia,1,1,0
SLB,1998,NA,NA,NA,NA,NA,NA,0.3011393,-0.79914,0.0299748,NA,NA,NA,NA,NA,NA,Solomon Islands,Oceania,0,1,1
THA,1998,NA,NA,NA,NA,NA,NA,0.5214028,0.09147519999999999,-0.06541430000000001,NA,NA,NA,NA,NA,NA,Thailand,Southeast Asia,1,0,0
TJK,1998,NA,NA,NA,NA,NA,NA,-1.535656,-1.411776,-1.2686790000000001,NA,NA,NA,NA,NA,NA,Tajikistan,Central and West Asia,0,0,0
TKM,1998,NA,NA,NA,NA,NA,NA,-1.421047,-1.1742920000000001,-1.103732,NA,NA,NA,NA,NA,NA,Turkmenistan,Central and West Asia,0,0,0
TLS,1998,NA,NA,NA,NA,NA,NA,-1.568956,NA,NA,NA,NA,NA,NA,NA,NA,Timor-Leste,Southeast Asia,0,1,1
TON,1998,NA,NA,NA,NA,NA,NA,0.1800276,-0.2653639,-0.1954361,NA,NA,NA,NA,NA,NA,Tonga,Oceania,0,1,0
TUV,1998,NA,NA,NA,NA,NA,NA,0.9085175,NA,NA,NA,NA,NA,NA,NA,NA,Tuvalu,Oceania,0,1,1
TWN,1998,NA,NA,NA,NA,NA,NA,0.7722098000000001,0.8474706,0.6124514,NA,NA,NA,NA,NA,NA,"Taipei,China",East Asia,1,0,0
UZB,1998,NA,NA,NA,NA,NA,NA,-1.275361,-1.334786,-1.158051,NA,NA,NA,NA,NA,NA,Uzbekistan,Central and West Asia,0,0,0
VNM,1998,NA,NA,NA,NA,NA,NA,-0.45374490000000006,-0.38261300000000004,-0.46804350000000006,NA,NA,NA,NA,NA,NA,Viet Nam,Southeast Asia,0,0,0
VUT,1998,NA,NA,NA,NA,NA,NA,0.0060366000000000005,-0.3988079,0.1017004,NA,NA,NA,NA,NA,NA,Vanuatu,Oceania,0,1,0
WSM,1998,NA,NA,NA,NA,NA,NA,0.6700003999999999,0.33024990000000004,-0.0905186,NA,NA,NA,NA,NA,NA,Samoa,Oceania,0,1,0
AFG,2000,7.5917,NA,NA,NA,NA,NA,-1.7784369999999998,-2.231651,-1.29538,NA,NA,NA,NA,0.35,NA,Afghanistan,South Asia,0,0,1
ARM,2000,65.79,28.0591,NA,NA,NA,NA,-0.47856570000000004,-0.5157526,-0.7595353,NA,NA,NA,NA,0.669,NA,Armenia,Central and West Asia,0,0,0
AUS,2000,438.625,7.1246,NA,NA,NA,NA,1.751407,1.810187,1.923246,NA,NA,NA,NA,0.903,NA,Australia,Oceania,1,0,0
AZE,2000,32.754,5.4663,NA,NA,NA,NA,-1.14998,-1.0059870000000002,-1.300618,NA,NA,NA,NA,0.635,NA,Azerbaijan,Central and West Asia,0,0,0
BGD,2000,98.7853,2.1919,NA,NA,NA,NA,-0.9116927,-0.580437,-1.108687,NA,NA,NA,NA,0.478,NA,Bangladesh,South Asia,0,0,1
BRN,2000,9.6296,NA,NA,NA,NA,NA,0.537964,0.9146784,0.3726364,NA,NA,NA,NA,0.802,NA,Brunei Darussalam,Southeast Asia,1,0,0
BTN,2000,3.2137,NA,NA,NA,NA,NA,0.13347479999999998,0.8294715,0.9876838,NA,NA,NA,NA,NA,NA,Bhutan,South Asia,0,0,1
CHN,2000,50.8034,29.3705,NA,NA,NA,NA,-0.5271608,-0.108963,-0.21828870000000003,NA,NA,NA,NA,0.588,NA,People's Republic of China,East Asia,1,0,0
COK,2000,0.2785,NA,NA,NA,NA,NA,0.6459185000000001,0.1196443,0.2264741,NA,NA,NA,NA,NA,NA,Cook Islands,Oceania,0,1,0
FJI,2000,1.2719,NA,NA,NA,NA,NA,-0.4197477,-0.4591800999999999,0.31358969999999997,NA,NA,NA,NA,0.695,NA,Fiji,Oceania,0,1,0
FSM,2000,0.3116,NA,NA,NA,NA,NA,0.0507538,-0.6505269,-0.21886239999999998,NA,NA,NA,NA,0.546,NA,Federated States of Micronesia,Oceania,0,1,0
GEO,2000,7.6117,0.64,NA,NA,NA,NA,-0.9332339,-0.6483843,-1.008173,NA,NA,NA,NA,0.69,NA,Georgia,Central and West Asia,0,0,0
HKG,2000,266.9122,0.0979,NA,NA,NA,NA,0.81868,1.3262690000000001,1.338571,NA,NA,NA,NA,0.83,NA,"Hong Kong, China",East Asia,1,0,0
IDN,2000,29.2307,14.2562,NA,NA,NA,NA,-0.7173401,-0.29227859999999994,-0.9190736999999999,NA,NA,NA,NA,0.603,NA,Indonesia,Southeast Asia,1,0,0
