,Unnamed: 0,iso,country_name_x,mean_temperature,year,hdi_rank,hdi_value,A1,A2,A3,A_avg,B4,B5,B6,B_avg,C7,C8,C9,C10,C11,C_avg,D12,D13,D14,D15,D16,D_avg,portfolio,overall_rating,conflict_stock_displacement,conflict_stock_displacement_raw,conflict_new_displacements,conflict_new_displacements_raw,disaster_new_displacements,disaster_new_displacements_raw,disaster_stock_displacement,disaster_stock_displacementr_raw,ims_both_sex,ims_male,ims_female,totalpop_both_in_thou,totalpop_male_in_though,totalpop_female_in_thou,ims_percent_totalpop_both_sex,ims_percent_totalpop_male,ims_percent_totalpop_female,female_migrants_perc_ims,estimated_refugee_stock_incl_asylum_seekers_both_sexes,refugees_asylum_seekers_perc_ims,EPI,HLT,AIR,H2O,HMT,ECO,BDH,FSH,CCH,APE,WRS,AGR,HAD,PMD,PMW,USD,UWD,PBD,MPA,TBN,TBG,SPI,PAR,SHI,TCL,FSS,RMS,DCT,DPT,DMT,DNT,DBT,DST,DXT,WWT,SNM,OZD,WMG,MSW,BHV,ECS,GRL,WTL,FGT,CDA,CHA,FGA,NDA,BCA,LCB,GIB,GHP,SDA,NXA,v2pepwrses,v2peapssoc,v2clsocgrp,value.Gini index (World Bank estimate),GDP per capita (constant 2015 US$),value.GDP (constant 2015 US$),fsi_total,C1: Security Apparatus,C2: Factionalized Elites,C3: Group Grievance,E1: Economy,E2: Economic Inequality,E3: Human Flight and Brain Drain,P1: State Legitimacy,P2: Public Services,P3: Human Rights,S1: Demographic Pressures,S2: Refugees and IDPs,X1: External Intervention,value.Control of Corruption: Estimate,value.Government Effectiveness: Estimate,value.Rule of Law: Estimate,CRI score,Fatalities (Rank),Fatalities per 100 000 inhabitants (Rank),Losses in million US$ (PPP) (Rank),Losses per unit GDP in % (Rank),"CPIA transparency, accountability, and corruption in the public sector rating (1=low to 6=high)",CPIA quality of public administration rating (1=low to 6=high),CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),country_name_y,region,donor,sids,ldc
4957,4957,TKM,Turkmenistan,,1994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.037,0.78,-0.919,,,,,,,,,,,,,,,,,,,,,,,,,,,,Turkmenistan,Central and West Asia,0,0,0
4958,4958,TKM,Turkmenistan,,1996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.092,0.78,-0.919,,,,,,,,,,,,,,,,,-1.021493,-1.14968,-1.487391,,,,,,,,,Turkmenistan,Central and West Asia,0,0,0
4959,4959,TKM,Turkmenistan,,1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.092,0.78,-0.919,,,,,,,,,,,,,,,,,,,,,,,,,,,,Turkmenistan,Central and West Asia,0,0,0
4960,4960,TKM,Turkmenistan,,1998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.092,0.78,-0.919,,,,,,,,,,,,,,,,,-1.103732,-1.174292,-1.421047,,,,,,,,,Turkmenistan,Central and West Asia,0,0,0
4961,4961,TKM,Turkmenistan,,1999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.092,0.78,-0.919,,,,,,,,,,,,,,,,,,,,,,,,,,,,Turkmenistan,Central and West Asia,0,0,0
4962,4962,UZB,Uzbekistan,,1789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.761,,-0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,Uzbekistan,Central and West Asia,0,0,0
4963,4963,UZB,Uzbekistan,,1790,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.761,,-0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,Uzbekistan,Central and West Asia,0,0,0
4964,4964,UZB,Uzbekistan,,1791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.761,,-0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,Uzbekistan,Central and West Asia,0,0,0
4965,4965,UZB,Uzbekistan,,1792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.761,,-0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,Uzbekistan,Central and West Asia,0,0,0
4966,4966,UZB,Uzbekistan,,1793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.761,,-0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,Uzbekistan,Central and West Asia,0,0,0
4967,4967,UZB,Uzbekistan,,1794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.761,,-0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,Uzbekistan,Central and West Asia,0,0,0
4968,4968,UZB,Uzbekistan,,1795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.761,,-0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,Uzbekistan,Central and West Asia,0,0,0
4969,4969,UZB,Uzbekistan,,1796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.761,,-0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,Uzbekistan,Central and West Asia,0,0,0
4970,4970,UZB,Uzbekistan,,1797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.761,,-0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,Uzbekistan,Central and West Asia,0,0,0
4971,4971,UZB,Uzbekistan,,1798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.761,,-0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,Uzbekistan,Central and West Asia,0,0,0
4972,4972,UZB,Uzbekistan,,1799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.761,,-0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,Uzbekistan,Central and West Asia,0,0,0
4973,4973,UZB,Uzbekistan,,1800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.761,,-0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,Uzbekistan,Central and West Asia,0,0,0
4974,4974,UZB,Uzbekistan,,1801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.761,,-0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,Uzbekistan,Central and West Asia,0,0,0
4975,4975,UZB,Uzbekistan,,1802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.761,,-0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,Uzbekistan,Central and West Asia,0,0,0
