iso,country_name,mean_temperature,year,data_source
KGZ,Kyrgyz Republic,1.66,2014,World Bank Climate Knowledge Portal 
KGZ,Kyrgyz Republic,2.92,2015,World Bank Climate Knowledge Portal 
KGZ,Kyrgyz Republic,2.99,2016,World Bank Climate Knowledge Portal 
KGZ,Kyrgyz Republic,2.35,2017,World Bank Climate Knowledge Portal 
KGZ,Kyrgyz Republic,2.29,2018,World Bank Climate Knowledge Portal 
KGZ,Kyrgyz Republic,2.9,2019,World Bank Climate Knowledge Portal 
KGZ,Kyrgyz Republic,2.35,2020,World Bank Climate Knowledge Portal 
LAO,Laos ,24.27,2010,World Bank Climate Knowledge Portal 
LAO,Laos ,23.03,2011,World Bank Climate Knowledge Portal 
LAO,Laos ,24.11,2012,World Bank Climate Knowledge Portal 
LAO,Laos ,23.72,2013,World Bank Climate Knowledge Portal 
LAO,Laos ,23.87,2014,World Bank Climate Knowledge Portal 
LAO,Laos ,24.29,2015,World Bank Climate Knowledge Portal 
LAO,Laos ,24.25,2016,World Bank Climate Knowledge Portal 
LAO,Laos ,23.77,2017,World Bank Climate Knowledge Portal 
LAO,Laos ,23.76,2018,World Bank Climate Knowledge Portal 
LAO,Laos ,24.5,2019,World Bank Climate Knowledge Portal 
LAO,Laos ,24.32,2020,World Bank Climate Knowledge Portal 
MYS,Malaysia,25.8,2010,World Bank Climate Knowledge Portal 
MYS,Malaysia,25.58,2011,World Bank Climate Knowledge Portal 
MYS,Malaysia,25.77,2012,World Bank Climate Knowledge Portal 
MYS,Malaysia,25.87,2013,World Bank Climate Knowledge Portal 
MYS,Malaysia,25.78,2014,World Bank Climate Knowledge Portal 
MYS,Malaysia,26.01,2015,World Bank Climate Knowledge Portal 
MYS,Malaysia,26.3,2016,World Bank Climate Knowledge Portal 
MYS,Malaysia,25.85,2017,World Bank Climate Knowledge Portal 
MYS,Malaysia,25.89,2018,World Bank Climate Knowledge Portal 
MYS,Malaysia,26.17,2019,World Bank Climate Knowledge Portal 
MYS,Malaysia,26.05,2020,World Bank Climate Knowledge Portal 
MDV,Maldives,27.73,2010,World Bank Climate Knowledge Portal 
MDV,Maldives,27.73,2011,World Bank Climate Knowledge Portal 
MDV,Maldives,27.73,2012,World Bank Climate Knowledge Portal 
MDV,Maldives,27.71,2013,World Bank Climate Knowledge Portal 
MDV,Maldives,27.73,2014,World Bank Climate Knowledge Portal 
MDV,Maldives,27.73,2015,World Bank Climate Knowledge Portal 
MDV,Maldives,27.8,2016,World Bank Climate Knowledge Portal 
MDV,Maldives,27.75,2017,World Bank Climate Knowledge Portal 
MDV,Maldives,27.73,2018,World Bank Climate Knowledge Portal 
MDV,Maldives,27.78,2019,World Bank Climate Knowledge Portal 
MDV,Maldives,27.78,2020,World Bank Climate Knowledge Portal 
MHL,Marshall Islands,27.4,2010,World Bank Climate Knowledge Portal 
MHL,Marshall Islands,27.73,2011,World Bank Climate Knowledge Portal 
MHL,Marshall Islands,28.25,2012,World Bank Climate Knowledge Portal 
MHL,Marshall Islands,28.28,2013,World Bank Climate Knowledge Portal 
MHL,Marshall Islands,28.23,2014,World Bank Climate Knowledge Portal 
MHL,Marshall Islands,28.25,2015,World Bank Climate Knowledge Portal 
MHL,Marshall Islands,28.43,2016,World Bank Climate Knowledge Portal 
MHL,Marshall Islands,28.36,2017,World Bank Climate Knowledge Portal 
MHL,Marshall Islands,28.15,2018,World Bank Climate Knowledge Portal 
MHL,Marshall Islands,28.2,2019,World Bank Climate Knowledge Portal 
MHL,Marshall Islands,28.43,2020,World Bank Climate Knowledge Portal 
MNG,Mongolia,-0.42,2010,World Bank Climate Knowledge Portal 
MNG,Mongolia,0.04,2011,World Bank Climate Knowledge Portal 
MNG,Mongolia,-0.62,2012,World Bank Climate Knowledge Portal 
MNG,Mongolia,1,2013,World Bank Climate Knowledge Portal 
MNG,Mongolia,1.3,2014,World Bank Climate Knowledge Portal 
MNG,Mongolia,1.69,2015,World Bank Climate Knowledge Portal 
MNG,Mongolia,0.78,2016,World Bank Climate Knowledge Portal 
MNG,Mongolia,1.89,2017,World Bank Climate Knowledge Portal 
MNG,Mongolia,1.18,2018,World Bank Climate Knowledge Portal 
MNG,Mongolia,1.32,2019,World Bank Climate Knowledge Portal 
MNG,Mongolia,1.31,2020,World Bank Climate Knowledge Portal 
MMR,Myanmar,24.04,2010,World Bank Climate Knowledge Portal 
MMR,Myanmar,23.29,2011,World Bank Climate Knowledge Portal 
MMR,Myanmar,23.54,2012,World Bank Climate Knowledge Portal 
MMR,Myanmar,23.32,2013,World Bank Climate Knowledge Portal 
MMR,Myanmar,23.57,2014,World Bank Climate Knowledge Portal 
MMR,Myanmar,23.52,2015,World Bank Climate Knowledge Portal 
MMR,Myanmar,23.75,2016,World Bank Climate Knowledge Portal 
MMR,Myanmar,23.53,2017,World Bank Climate Knowledge Portal 
MMR,Myanmar,23.29,2018,World Bank Climate Knowledge Portal 
MMR,Myanmar,23.84,2019,World Bank Climate Knowledge Portal 
MMR,Myanmar,23.68,2020,World Bank Climate Knowledge Portal 
NPL,Nepal,14.03,2010,World Bank Climate Knowledge Portal 
NPL,Nepal,13.29,2011,World Bank Climate Knowledge Portal 
NPL,Nepal,13.21,2012,World Bank Climate Knowledge Portal 
NPL,Nepal,13.06,2013,World Bank Climate Knowledge Portal 
NPL,Nepal,13.14,2014,World Bank Climate Knowledge Portal 
NPL,Nepal,13.19,2015,World Bank Climate Knowledge Portal 
NPL,Nepal,13.88,2016,World Bank Climate Knowledge Portal 
NPL,Nepal,13.62,2017,World Bank Climate Knowledge Portal 
NPL,Nepal,13.35,2018,World Bank Climate Knowledge Portal 
NPL,Nepal,13.14,2019,World Bank Climate Knowledge Portal 
NPL,Nepal,13.04,2020,World Bank Climate Knowledge Portal 
NZL,New Zealand,10.54,2010,World Bank Climate Knowledge Portal 
NZL,New Zealand,10.39,2011,World Bank Climate Knowledge Portal 
NZL,New Zealand,10.07,2012,World Bank Climate Knowledge Portal 
NZL,New Zealand,10.68,2013,World Bank Climate Knowledge Portal 
NZL,New Zealand,10.25,2014,World Bank Climate Knowledge Portal 
NZL,New Zealand,10.14,2015,World Bank Climate Knowledge Portal 
NZL,New Zealand,10.85,2016,World Bank Climate Knowledge Portal 
NZL,New Zealand,10.63,2017,World Bank Climate Knowledge Portal 
NZL,New Zealand,10.8,2018,World Bank Climate Knowledge Portal 
NZL,New Zealand,10.65,2019,World Bank Climate Knowledge Portal 
NZL,New Zealand,10.61,2020,World Bank Climate Knowledge Portal 
NIU,Niue,24.83,2010,World Bank Climate Knowledge Portal 
NIU,Niue,24.84,2011,World Bank Climate Knowledge Portal 
NIU,Niue,24.88,2012,World Bank Climate Knowledge Portal 
NIU,Niue,25.16,2013,World Bank Climate Knowledge Portal 
NIU,Niue,24.94,2014,World Bank Climate Knowledge Portal 
NIU,Niue,24.84,2015,World Bank Climate Knowledge Portal 
NIU,Niue,25.31,2016,World Bank Climate Knowledge Portal 
NIU,Niue,25.19,2017,World Bank Climate Knowledge Portal 
NIU,Niue,25.05,2018,World Bank Climate Knowledge Portal 
NIU,Niue,25.19,2019,World Bank Climate Knowledge Portal 
NIU,Niue,25.21,2020,World Bank Climate Knowledge Portal 
PAK,Pakistan,21.57,2010,World Bank Climate Knowledge Portal 
PAK,Pakistan,21.26,2011,World Bank Climate Knowledge Portal 
PAK,Pakistan,20.68,2012,World Bank Climate Knowledge Portal 
PAK,Pakistan,21.27,2013,World Bank Climate Knowledge Portal 
PAK,Pakistan,20.91,2014,World Bank Climate Knowledge Portal 
PAK,Pakistan,21.13,2015,World Bank Climate Knowledge Portal 
PAK,Pakistan,21.77,2016,World Bank Climate Knowledge Portal 
PAK,Pakistan,21.51,2017,World Bank Climate Knowledge Portal 
PAK,Pakistan,21.82,2018,World Bank Climate Knowledge Portal 
PAK,Pakistan,20.94,2019,World Bank Climate Knowledge Portal 
PAK,Pakistan,20.79,2020,World Bank Climate Knowledge Portal 
PLW,Palau,27.74,2010,World Bank Climate Knowledge Portal 
PLW,Palau,27.89,2011,World Bank Climate Knowledge Portal 
PLW,Palau,28.28,2012,World Bank Climate Knowledge Portal 
PLW,Palau,28.4,2013,World Bank Climate Knowledge Portal 
PLW,Palau,28.24,2014,World Bank Climate Knowledge Portal 
PLW,Palau,28.35,2015,World Bank Climate Knowledge Portal 
PLW,Palau,28.55,2016,World Bank Climate Knowledge Portal 
PLW,Palau,28.31,2017,World Bank Climate Knowledge Portal 
PLW,Palau,28.53,2018,World Bank Climate Knowledge Portal 
PLW,Palau,28.23,2019,World Bank Climate Knowledge Portal 
PLW,Palau,27.85,2020,World Bank Climate Knowledge Portal 
PNG,Papua New Guinea,25.13,2010,World Bank Climate Knowledge Portal 
PNG,Papua New Guinea,25.03,2011,World Bank Climate Knowledge Portal 
PNG,Papua New Guinea,25.07,2012,World Bank Climate Knowledge Portal 
PNG,Papua New Guinea,25.08,2013,World Bank Climate Knowledge Portal 
PNG,Papua New Guinea,25.08,2014,World Bank Climate Knowledge Portal 
PNG,Papua New Guinea,25.09,2015,World Bank Climate Knowledge Portal 
PNG,Papua New Guinea,25.13,2016,World Bank Climate Knowledge Portal 
