country_name,iso,year,value.Control of Corruption: Estimate,value.Government Effectiveness: Estimate,value.Rule of Law: Estimate,data_source
Singapore,SGP,2011,2.109778,2.154623,1.66993,WWGI
Solomon Islands,SLB,2011,-0.3432978,-0.8646513,-0.5232059,WWGI
"Korea, Rep.",KOR,2011,0.5283377,1.252658,1.025932,WWGI
Sri Lanka,LKA,2011,-0.393244,-0.1114646,-0.1222856,WWGI
"Taiwan, China",TWN,2011,0.8722753,1.147194,1.034143,WWGI
Tajikistan,TJK,2011,-1.218252,-0.9482636,-1.22634,WWGI
Thailand,THA,2011,-0.3234363,0.2058027,-0.2038983,WWGI
Timor-Leste,TLS,2011,-0.8097211,-1.153561,-1.175452,WWGI
Tonga,TON,2011,-0.3317236,-0.363674,-0.0166383,WWGI
Turkmenistan,TKM,2011,-1.54336,-1.603811,-1.456832,WWGI
Tuvalu,TUV,2011,-0.5269584,-0.7950319,0.4737955,WWGI
Uzbekistan,UZB,2011,-1.370546,-0.6850357,-1.445755,WWGI
Vanuatu,VUT,2011,0.2993033,-0.243702,0.2747931,WWGI
Vietnam,VNM,2011,-0.6072856,-0.232533,-0.5448652,WWGI
Afghanistan,AFG,2012,-1.419741,-1.360196,-1.643081,WWGI
Armenia,ARM,2012,-0.5878049,-0.0423688,-0.4178914,WWGI
Australia,AUS,2012,1.985249,1.62129,1.766858,WWGI
Azerbaijan,AZE,2012,-1.126805,-0.7827144,-0.8344684,WWGI
Bangladesh,BGD,2012,-0.8498092,-0.804239,-0.9292567,WWGI
Bhutan,BTN,2012,0.9395218,0.5124978,0.2363021,WWGI
Brunei Darussalam,BRN,2012,0.5458052,0.8434001,0.7930172,WWGI
Cambodia,KHM,2012,-1.070025,-0.8159052,-0.9796243,WWGI
China,CHN,2012,-0.4357484,0.0233264,-0.5428619,WWGI
"Hong Kong SAR, China",HKG,2012,1.740234,1.834511,1.580348,WWGI
Cook Islands,COK,2012,-0.218857,-0.9988776,-0.9360893,WWGI
Fiji,FJI,2012,-0.1102152,-0.8380788,-0.7911764,WWGI
Georgia,GEO,2012,0.4010559,0.6057203,-0.0145602,WWGI
India,IND,2012,-0.5132697,-0.1710446,-0.0719577,WWGI
Indonesia,IDN,2012,-0.6397947,-0.273001,-0.5756522,WWGI
Japan,JPN,2012,1.626548,1.415494,1.357793,WWGI
Kazakhstan,KAZ,2012,-0.9190874,-0.4403299,-0.6845782,WWGI
Kiribati,KIR,2012,0.0063897,-0.7959709,0.1416606,WWGI
Kyrgyz Republic,KGZ,2012,-1.149493,-0.649578,-1.129424,WWGI
Lao PDR,LAO,2012,-1.019289,-0.8377884,-0.8515942,WWGI
Malaysia,MYS,2012,0.2374538,0.9197366,0.4650094,WWGI
Maldives,MDV,2012,-0.7027921,-0.2152527,-0.5417812,WWGI
Marshall Islands,MHL,2012,-0.2639839,-1.440469,0.0284789,WWGI
"Micronesia, Fed. Sts.",FSM,2012,-0.1481447,-0.6433704,-0.0155272,WWGI
Mongolia,MNG,2012,-0.535103,-0.6362302,-0.3754402,WWGI
Myanmar,MMR,2012,-1.063255,-1.481443,-1.354667,WWGI
Nauru,NRU,2012,-0.0176011,-0.5563569,0.732357,WWGI
Nepal,NPL,2012,-0.8129804,-0.9827667,-0.735665,WWGI
New Zealand,NZL,2012,2.31576,1.800852,1.890485,WWGI
Papua New Guinea,PNG,2012,-0.9380295,-0.7407336,-0.8362243,WWGI
Niue,NIU,2012,-0.4353436,-0.9988776,-0.7848002,WWGI
Pakistan,PAK,2012,-1.062848,-0.7780076,-0.884176,WWGI
Palau,PLW,2012,-0.4270297,-0.5563569,0.9037626,WWGI
Philippines,PHL,2012,-0.5628825,0.1080892,-0.5231333,WWGI
Samoa,WSM,2012,0.1066658,-0.0191277,0.6759908,WWGI
Singapore,SGP,2012,2.123504,2.165925,1.731099,WWGI
Solomon Islands,SLB,2012,-0.3581656,-0.8060813,-0.5399753,WWGI
"Korea, Rep.",KOR,2012,0.534928,1.199197,0.9841591,WWGI
Sri Lanka,LKA,2012,-0.2368751,-0.2076246,-0.1223696,WWGI
"Taiwan, China",TWN,2012,0.7225365,1.153928,1.049876,WWGI
Tajikistan,TJK,2012,-1.275516,-0.9312044,-1.20035,WWGI
Thailand,THA,2012,-0.3662243,0.2245758,-0.1510798,WWGI
Timor-Leste,TLS,2012,-0.7359146,-1.180872,-1.144864,WWGI
Tonga,TON,2012,-0.3212279,-0.4081213,-0.0375934,WWGI
Turkmenistan,TKM,2012,-1.431173,-1.257159,-1.402587,WWGI
Tuvalu,TUV,2012,-0.350519,-0.6933141,0.4614491,WWGI
Uzbekistan,UZB,2012,-1.301437,-0.9106965,-1.290145,WWGI
Vanuatu,VUT,2012,0.3365192,-0.2233136,0.2845534,WWGI
Vietnam,VNM,2012,-0.5280299,-0.2699399,-0.5515664,WWGI
Afghanistan,AFG,2013,-1.43651,-1.385382,-1.597348,WWGI
Armenia,ARM,2013,-0.5317937,0.0688658,-0.3442721,WWGI
Australia,AUS,2013,1.785226,1.640055,1.778535,WWGI
Azerbaijan,AZE,2013,-0.9665772,-0.4752991,-0.7239093,WWGI
Bangladesh,BGD,2013,-0.8868789,-0.7941526,-0.8668659,WWGI
Bhutan,BTN,2013,0.9015949,0.4003721,0.2902508,WWGI
Brunei Darussalam,BRN,2013,0.6461149,0.8697968,0.5945292,WWGI
Cambodia,KHM,2013,-1.052218,-0.9065329,-1.004164,WWGI
China,CHN,2013,-0.3582174,0.0034887,-0.5246463,WWGI
"Hong Kong SAR, China",HKG,2013,1.643553,1.746092,1.573712,WWGI
Cook Islands,COK,2013,-0.2185534,-0.9944172,-0.9324832,WWGI
Fiji,FJI,2013,-0.1209893,-0.8437901,-0.8230026,WWGI
Georgia,GEO,2013,0.4692806,0.5851756,-0.0060284,WWGI
India,IND,2013,-0.5172881,-0.1717331,-0.0573845,WWGI
Indonesia,IDN,2013,-0.6136571,-0.1989508,-0.5308241,WWGI
Japan,JPN,2013,1.655598,1.618248,1.44361,WWGI
Kazakhstan,KAZ,2013,-0.9288022,-0.5330504,-0.6916572,WWGI
Kiribati,KIR,2013,-0.0423936,-0.7700297,0.1815301,WWGI
Kyrgyz Republic,KGZ,2013,-1.162661,-0.6522024,-1.109251,WWGI
Lao PDR,LAO,2013,-0.9337132,-0.7303624,-0.8003266,WWGI
Malaysia,MYS,2013,0.3502346,0.9998574,0.435685,WWGI
Maldives,MDV,2013,-0.7475998,-0.3224895,-0.7466669,WWGI
Marshall Islands,MHL,2013,-0.0377923,-1.566291,0.1330848,WWGI
"Micronesia, Fed. Sts.",FSM,2013,-0.2044475,-0.5713717,0.0652919,WWGI
Mongolia,MNG,2013,-0.4790803,-0.5487577,-0.3714384,WWGI
Myanmar,MMR,2013,-0.9998913,-1.497578,-1.233859,WWGI
