country_name,iso,year,value.Control of Corruption: Estimate,value.Government Effectiveness: Estimate,value.Rule of Law: Estimate,data_source
"Taiwan, China",TWN,1998,0.6124514,0.8474706,0.7722098,WWGI
Tajikistan,TJK,1998,-1.268679,-1.411776,-1.535656,WWGI
Thailand,THA,1998,-0.0654143,0.0914752,0.5214028,WWGI
Timor-Leste,TLS,1998,,,-1.568956,WWGI
Tonga,TON,1998,-0.1954361,-0.2653639,0.1800276,WWGI
Turkmenistan,TKM,1998,-1.103732,-1.174292,-1.421047,WWGI
Tuvalu,TUV,1998,,,0.9085175,WWGI
Uzbekistan,UZB,1998,-1.158051,-1.334786,-1.275361,WWGI
Vanuatu,VUT,1998,0.1017004,-0.3988079,0.0060366,WWGI
Vietnam,VNM,1998,-0.4680435,-0.382613,-0.4537449,WWGI
Afghanistan,AFG,2000,-1.29538,-2.231651,-1.778437,WWGI
Armenia,ARM,2000,-0.7595353,-0.5157526,-0.4785657,WWGI
Australia,AUS,2000,1.923246,1.810187,1.751407,WWGI
Azerbaijan,AZE,2000,-1.300618,-1.005987,-1.14998,WWGI
Bangladesh,BGD,2000,-1.108687,-0.580437,-0.9116927,WWGI
Bhutan,BTN,2000,0.9876838,0.8294715,0.1334748,WWGI
Brunei Darussalam,BRN,2000,0.3726364,0.9146784,0.537964,WWGI
Cambodia,KHM,2000,-0.9583682,-0.8275169,-1.059129,WWGI
China,CHN,2000,-0.2182887,-0.108963,-0.5271608,WWGI
"Hong Kong SAR, China",HKG,2000,1.338571,1.326269,0.81868,WWGI
Cook Islands,COK,2000,0.2264741,0.1196443,0.6459185,WWGI
Fiji,FJI,2000,0.3135897,-0.4591801,-0.4197477,WWGI
Georgia,GEO,2000,-1.008173,-0.6483843,-0.9332339,WWGI
India,IND,2000,-0.3455512,-0.1337757,0.330215,WWGI
Indonesia,IDN,2000,-0.9190737,-0.2922786,-0.7173401,WWGI
Japan,JPN,2000,1.273968,1.199341,1.315753,WWGI
Kazakhstan,KAZ,2000,-1.123968,-0.6947175,-1.107411,WWGI
Kiribati,KIR,2000,-0.3320304,-0.1675885,0.5870306,WWGI
Kyrgyz Republic,KGZ,2000,-0.9031251,-0.503099,-0.8710807,WWGI
Lao PDR,LAO,2000,-0.8859748,-0.7781562,-0.9881363,WWGI
Malaysia,MYS,2000,0.3370187,1.057264,0.2731184,WWGI
Maldives,MDV,2000,-0.381528,0.3684213,0.0680506,WWGI
Marshall Islands,MHL,2000,-0.2875369,-0.829904,0.0031422,WWGI
"Micronesia, Fed. Sts.",FSM,2000,-0.2188624,-0.6505269,0.0507538,WWGI
Mongolia,MNG,2000,-0.309789,-0.2799023,-0.0061647,WWGI
Myanmar,MMR,2000,-1.387619,-1.230591,-1.423945,WWGI
Nauru,NRU,2000,,,0.8622218,WWGI
Nepal,NPL,2000,-0.666684,-0.4585488,-0.2528777,WWGI
New Zealand,NZL,2000,2.251775,1.659819,1.825322,WWGI
Papua New Guinea,PNG,2000,-0.8323221,-0.4300175,-0.8443933,WWGI
Niue,NIU,2000,,,,WWGI
Pakistan,PAK,2000,-0.8410398,-0.5973354,-0.9287443,WWGI
Palau,PLW,2000,,,0.8622218,WWGI
Philippines,PHL,2000,-0.5104946,-0.1756712,-0.3752432,WWGI
Samoa,WSM,2000,0.0933743,0.4412707,0.7758543,WWGI
Singapore,SGP,2000,2.208549,2.199069,1.298522,WWGI
Solomon Islands,SLB,2000,-0.3637805,-0.9589807,-0.5834655,WWGI
"Korea, Rep.",KOR,2000,0.3226252,0.7543431,0.8812567,WWGI
Sri Lanka,LKA,2000,-0.1829986,-0.2976088,0.1523,WWGI
"Taiwan, China",TWN,2000,0.7259406,0.7394254,0.8348612,WWGI
Tajikistan,TJK,2000,-1.275289,-1.19373,-1.390418,WWGI
Thailand,THA,2000,-0.1869879,0.2110565,0.5811126,WWGI
Timor-Leste,TLS,2000,,,0.292264,WWGI
Tonga,TON,2000,-0.400705,-0.4760423,0.2412006,WWGI
Turkmenistan,TKM,2000,-1.133726,-1.273091,-1.328344,WWGI
Tuvalu,TUV,2000,0.4688683,0.5015961,1.36209,WWGI
Uzbekistan,UZB,2000,-1.052387,-0.976458,-1.224758,WWGI
Vanuatu,VUT,2000,-0.2819904,-0.5263427,0.3880665,WWGI
Vietnam,VNM,2000,-0.568332,-0.4399109,-0.3624379,WWGI
Afghanistan,AFG,2002,-1.263366,-1.567973,-1.670823,WWGI
Armenia,ARM,2002,-0.7465239,-0.0914017,-0.423272,WWGI
Australia,AUS,2002,1.809628,1.718943,1.79999,WWGI
Azerbaijan,AZE,2002,-1.179272,-0.9290094,-0.908657,WWGI
Bangladesh,BGD,2002,-1.361227,-0.6887409,-0.9030272,WWGI
Bhutan,BTN,2002,1.039471,0.7845386,0.0583945,WWGI
Brunei Darussalam,BRN,2002,0.3102241,0.8949295,0.5020638,WWGI
Cambodia,KHM,2002,-1.009935,-0.8083998,-1.143052,WWGI
China,CHN,2002,-0.5182464,-0.0602706,-0.4977296,WWGI
"Hong Kong SAR, China",HKG,2002,1.713238,1.386807,1.29407,WWGI
Cook Islands,COK,2002,0.184678,-0.0110881,0.6451816,WWGI
Fiji,FJI,2002,0.2961941,0.1415984,-0.325182,WWGI
Georgia,GEO,2002,-1.233965,-0.7959847,-1.056167,WWGI
India,IND,2002,-0.5158787,-0.1207639,0.0033842,WWGI
Indonesia,IDN,2002,-1.14404,-0.4142109,-0.9140038,WWGI
Japan,JPN,2002,0.9685954,1.068673,1.176049,WWGI
Kazakhstan,KAZ,2002,-1.111002,-0.9299887,-1.142669,WWGI
Kiribati,KIR,2002,-0.0901322,-0.2195811,0.5590889,WWGI
Kyrgyz Republic,KGZ,2002,-0.9899997,-0.6167717,-0.8053126,WWGI
Lao PDR,LAO,2002,-1.151778,-0.9143893,-1.154668,WWGI
Malaysia,MYS,2002,0.2749991,1.021576,0.4508347,WWGI
Maldives,MDV,2002,-0.1849878,0.4016014,-0.1425849,WWGI
Marshall Islands,MHL,2002,-0.4837397,-1.132705,0.1920965,WWGI
"Micronesia, Fed. Sts.",FSM,2002,-0.3152156,-0.7711372,0.0183355,WWGI
Mongolia,MNG,2002,-0.0071526,-0.1510513,0.1798876,WWGI
Myanmar,MMR,2002,-1.316296,-1.31476,-1.713963,WWGI
Nauru,NRU,2002,,,0.8586732,WWGI
Nepal,NPL,2002,-0.3575014,-0.456825,-0.470369,WWGI
New Zealand,NZL,2002,2.320816,1.738428,1.824306,WWGI
Papua New Guinea,PNG,2002,-0.9128661,-0.4665455,-0.9390848,WWGI
Niue,NIU,2002,,,,WWGI
Pakistan,PAK,2002,-0.9082966,-0.4066568,-0.7777725,WWGI
Palau,PLW,2002,,,0.8586732,WWGI
Philippines,PHL,2002,-0.5000148,-0.1292202,-0.3747749,WWGI
Samoa,WSM,2002,0.0699039,0.4465011,1.034857,WWGI
Singapore,SGP,2002,2.32098,1.854913,1.406749,WWGI
Solomon Islands,SLB,2002,-0.7050016,-2.046691,-0.9063572,WWGI
"Korea, Rep.",KOR,2002,0.5032603,0.906771,0.9473205,WWGI
Sri Lanka,LKA,2002,-0.1835918,-0.0406734,0.3302857,WWGI
"Taiwan, China",TWN,2002,0.6445099,0.7920457,0.887463,WWGI
Tajikistan,TJK,2002,-1.166876,-1.230195,-1.188971,WWGI
Thailand,THA,2002,-0.312025,0.3096918,0.3843653,WWGI
Timor-Leste,TLS,2002,-0.2136295,-0.7348684,-0.8275248,WWGI
Tonga,TON,2002,-0.5402989,-0.8094302,0.1594864,WWGI
Turkmenistan,TKM,2002,-1.271739,-1.455165,-1.410016,WWGI
Tuvalu,TUV,2002,0.5859712,0.0162519,1.372405,WWGI
Uzbekistan,UZB,2002,-1.030034,-1.18511,-1.476941,WWGI
Vanuatu,VUT,2002,-0.2938749,-0.7902837,0.2508718,WWGI
Vietnam,VNM,2002,-0.5696136,-0.4373939,-0.6433961,WWGI
Afghanistan,AFG,2003,-1.351042,-1.082488,-1.553829,WWGI
Armenia,ARM,2003,-0.5700286,-0.1563007,-0.3025564,WWGI
Australia,AUS,2003,1.949854,1.837643,1.882049,WWGI
Azerbaijan,AZE,2003,-1.007087,-0.7668569,-0.8365198,WWGI
Bangladesh,BGD,2003,-1.442822,-0.7254452,-1.047653,WWGI
Bhutan,BTN,2003,1.090904,0.4894388,0.2066349,WWGI
Brunei Darussalam,BRN,2003,0.3189477,0.7458653,0.590917,WWGI
Cambodia,KHM,2003,-0.99476,-0.85185,-1.253176,WWGI
China,CHN,2003,-0.359454,-0.0820877,-0.5298271,WWGI
"Hong Kong SAR, China",HKG,2003,1.852923,1.653428,1.573022,WWGI
Cook Islands,COK,2003,0.0852634,-0.2126729,0.6774979,WWGI
Fiji,FJI,2003,0.0565854,-0.1133136,-0.0493926,WWGI
Georgia,GEO,2003,-0.6959892,-0.3994781,-0.8983058,WWGI
India,IND,2003,-0.4165717,-0.0884409,0.1309935,WWGI
Indonesia,IDN,2003,-0.9697266,-0.4644641,-0.8508331,WWGI
Japan,JPN,2003,1.210685,1.217828,1.196319,WWGI
Kazakhstan,KAZ,2003,-1.026358,-0.6258659,-1.030669,WWGI
Kiribati,KIR,2003,0.1624471,-0.7468366,0.3059548,WWGI
Kyrgyz Republic,KGZ,2003,-0.9836336,-0.5705335,-0.7409122,WWGI
Lao PDR,LAO,2003,-1.182076,-1.001565,-1.272733,WWGI
Malaysia,MYS,2003,0.343969,1.162356,0.5239099,WWGI
Maldives,MDV,2003,-0.0530877,0.106854,-0.0151742,WWGI
Marshall Islands,MHL,2003,-0.8329695,-1.04333,0.0727762,WWGI
"Micronesia, Fed. Sts.",FSM,2003,-0.3352613,-0.7865792,-0.0925404,WWGI
Mongolia,MNG,2003,-0.2017621,-0.2280668,0.2130862,WWGI
Myanmar,MMR,2003,-1.481886,-1.244308,-1.700723,WWGI
Nauru,NRU,2003,,,0.8622284,WWGI
Nepal,NPL,2003,-0.4582963,-0.5159052,-0.556004,WWGI
New Zealand,NZL,2003,2.346575,1.826235,1.887663,WWGI
Papua New Guinea,PNG,2003,-0.8823828,-0.6049654,-1.138458,WWGI
Niue,NIU,2003,,,,WWGI
Pakistan,PAK,2003,-0.762178,-0.4030545,-0.7742094,WWGI
Palau,PLW,2003,,,0.8622284,WWGI
Philippines,PHL,2003,-0.5840759,-0.1031132,-0.4913498,WWGI
Samoa,WSM,2003,0.0762563,0.4509122,1.027928,WWGI
Singapore,SGP,2003,2.228928,1.947802,1.5733,WWGI
Solomon Islands,SLB,2003,-0.6321664,-2.270754,-0.8802009,WWGI
"Korea, Rep.",KOR,2003,0.5583808,0.9240439,0.8342572,WWGI
Sri Lanka,LKA,2003,-0.2262302,-0.203533,0.2445325,WWGI
"Taiwan, China",TWN,2003,0.8482103,0.978484,0.9776614,WWGI
Tajikistan,TJK,2003,-1.142904,-1.106954,-1.027935,WWGI
Thailand,THA,2003,-0.173061,0.3663059,0.1621313,WWGI
Timor-Leste,TLS,2003,-0.2214026,-0.9260253,-0.5266637,WWGI
Tonga,TON,2003,-0.5048001,-0.480364,-0.2755337,WWGI
Turkmenistan,TKM,2003,-1.221208,-1.465225,-1.421892,WWGI
Tuvalu,TUV,2003,-0.4714947,-1.06835,1.297973,WWGI
Uzbekistan,UZB,2003,-1.090016,-1.10308,-1.309614,WWGI
Vanuatu,VUT,2003,-0.2219644,-0.8514813,0.1132963,WWGI
Vietnam,VNM,2003,-0.4990683,-0.4460183,-0.5810017,WWGI
Afghanistan,AFG,2004,-1.345281,-0.8940507,-1.697143,WWGI
Armenia,ARM,2004,-0.6104831,-0.0922412,-0.4226077,WWGI
Australia,AUS,2004,2.028761,2.006778,1.815572,WWGI
Azerbaijan,AZE,2004,-1.163042,-0.7424284,-0.8747746,WWGI
Bangladesh,BGD,2004,-1.496538,-0.8191851,-1.01997,WWGI
Bhutan,BTN,2004,0.7965031,0.0205903,0.341372,WWGI
Brunei Darussalam,BRN,2004,0.4089673,0.2431719,0.3814886,WWGI
Cambodia,KHM,2004,-1.06173,-0.8856814,-1.279729,WWGI
China,CHN,2004,-0.5596942,-0.0552381,-0.5293402,WWGI
"Hong Kong SAR, China",HKG,2004,1.871349,1.756831,1.586487,WWGI
Cook Islands,COK,2004,0.1077814,-0.379427,0.638822,WWGI
Fiji,FJI,2004,0.1584945,-0.3909178,0.0260307,WWGI
Georgia,GEO,2004,-0.4687156,-0.5374144,-0.6579159,WWGI
India,IND,2004,-0.4111507,-0.1573192,0.0400426,WWGI
Indonesia,IDN,2004,-0.9321511,-0.4153518,-0.7736328,WWGI
Japan,JPN,2004,1.218695,1.36378,1.265991,WWGI
Kazakhstan,KAZ,2004,-1.095961,-0.6541258,-1.008891,WWGI
Kiribati,KIR,2004,0.3213347,-0.6121379,0.3704675,WWGI
Kyrgyz Republic,KGZ,2004,-1.104846,-0.6829314,-0.8140251,WWGI
Lao PDR,LAO,2004,-1.236541,-0.9999511,-1.121745,WWGI
Malaysia,MYS,2004,0.3377635,1.087762,0.5179631,WWGI
Maldives,MDV,2004,-0.3524567,-0.0064425,-0.0796294,WWGI
Marshall Islands,MHL,2004,-0.5724694,-0.9387149,-0.2100039,WWGI
"Micronesia, Fed. Sts.",FSM,2004,-0.0431867,-0.6038283,0.437779,WWGI
Mongolia,MNG,2004,-0.3980201,-0.4103425,0.0276974,WWGI
Myanmar,MMR,2004,-1.646097,-1.561635,-1.739791,WWGI
Nauru,NRU,2004,,,0.8400118,WWGI
Nepal,NPL,2004,-0.8709621,-0.7501413,-0.7425213,WWGI
New Zealand,NZL,2004,2.376838,1.961784,1.869368,WWGI
Papua New Guinea,PNG,2004,-0.9605086,-0.6469778,-0.8992642,WWGI
Niue,NIU,2004,,,,WWGI
Pakistan,PAK,2004,-1.08252,-0.4629056,-0.8769779,WWGI
Palau,PLW,2004,,,0.8400118,WWGI
Philippines,PHL,2004,-0.6489331,-0.2364625,-0.5681162,WWGI
Samoa,WSM,2004,0.1280995,0.0639811,0.8546701,WWGI
Singapore,SGP,2004,2.32558,1.989663,1.657221,WWGI
Solomon Islands,SLB,2004,-0.3655732,-1.270239,-0.8863054,WWGI
"Korea, Rep.",KOR,2004,0.388703,0.9010343,0.919705,WWGI
Sri Lanka,LKA,2004,-0.1458181,-0.4235739,0.1759895,WWGI
"Taiwan, China",TWN,2004,0.8291048,1.113148,0.9996896,WWGI
Tajikistan,TJK,2004,-1.288288,-0.9745044,-1.170146,WWGI
Thailand,THA,2004,-0.225242,0.3153662,0.1063597,WWGI
Timor-Leste,TLS,2004,-0.2953654,-0.6770105,-0.6868412,WWGI
Tonga,TON,2004,-0.4335981,-0.6049421,0.0660378,WWGI
Turkmenistan,TKM,2004,-1.474577,-1.643842,-1.634046,WWGI
Tuvalu,TUV,2004,0.637419,-0.7793114,0.8818525,WWGI
Uzbekistan,UZB,2004,-1.134173,-1.03046,-1.3179,WWGI
Vanuatu,VUT,2004,-0.3243554,-0.6307651,0.0698279,WWGI
Vietnam,VNM,2004,-0.734896,-0.4786768,-0.5679131,WWGI
Afghanistan,AFG,2005,-1.443609,-1.210829,-1.658668,WWGI
Armenia,ARM,2005,-0.6741413,-0.139913,-0.4002492,WWGI
Australia,AUS,2005,1.952358,1.751213,1.724451,WWGI
Azerbaijan,AZE,2005,-1.04491,-0.7294372,-0.7917499,WWGI
Bangladesh,BGD,2005,-1.387597,-0.9113003,-0.9789066,WWGI
Bhutan,BTN,2005,0.8192554,0.3245951,0.3117011,WWGI
Brunei Darussalam,BRN,2005,0.2461524,0.600312,0.2419076,WWGI
Cambodia,KHM,2005,-1.209747,-0.9993225,-1.233935,WWGI
China,CHN,2005,-0.6087338,-0.1199866,-0.5890847,WWGI
"Hong Kong SAR, China",HKG,2005,1.779577,1.614587,1.613014,WWGI
Cook Islands,COK,2005,0.569079,0.9232338,1.133692,WWGI
Fiji,FJI,2005,-0.3017229,-0.0797787,-0.04661,WWGI
Georgia,GEO,2005,-0.2154314,-0.4339972,-0.7093209,WWGI
India,IND,2005,-0.3607849,-0.1055001,0.1279031,WWGI
Indonesia,IDN,2005,-0.8781987,-0.4831279,-0.8215282,WWGI
Japan,JPN,2005,1.218508,1.290751,1.234982,WWGI
Kazakhstan,KAZ,2005,-1.014119,-0.6191217,-0.8654316,WWGI
Kiribati,KIR,2005,0.2033174,-0.4735642,0.7217457,WWGI
Kyrgyz Republic,KGZ,2005,-1.253386,-0.8784107,-1.114423,WWGI
Lao PDR,LAO,2005,-1.302482,-1.208072,-1.179128,WWGI
Malaysia,MYS,2005,0.1950662,1.092823,0.4970897,WWGI
Maldives,MDV,2005,-0.4407611,0.2022012,0.0409874,WWGI
Marshall Islands,MHL,2005,-0.4646168,-1.039871,-0.0717687,WWGI
"Micronesia, Fed. Sts.",FSM,2005,-0.2359343,-0.0956322,0.6634981,WWGI
Mongolia,MNG,2005,-0.6109759,-0.3764116,-0.2187209,WWGI
Myanmar,MMR,2005,-1.537207,-1.526451,-1.731732,WWGI
Nauru,NRU,2005,,,0.7861269,WWGI
Nepal,NPL,2005,-0.7433895,-0.8523244,-0.8157676,WWGI
New Zealand,NZL,2005,2.201448,1.746396,1.858338,WWGI
Papua New Guinea,PNG,2005,-1.131622,-0.875283,-1.003712,WWGI
Niue,NIU,2005,,,,WWGI
Pakistan,PAK,2005,-1.053138,-0.4531181,-0.8904083,WWGI
Palau,PLW,2005,,,0.7861269,WWGI
Philippines,PHL,2005,-0.6162979,-0.040945,-0.3501435,WWGI
Samoa,WSM,2005,0.1817049,0.4612368,1.058083,WWGI
Singapore,SGP,2005,2.16617,1.958422,1.707485,WWGI
Solomon Islands,SLB,2005,0.0421122,-0.6683773,-0.8004045,WWGI
"Korea, Rep.",KOR,2005,0.623883,0.9906011,0.9900065,WWGI
Sri Lanka,LKA,2005,-0.3397865,-0.3130901,0.1526568,WWGI
"Taiwan, China",TWN,2005,0.7494035,0.9493285,1.025266,WWGI
Tajikistan,TJK,2005,-1.169656,-1.151114,-1.09135,WWGI
Thailand,THA,2005,-0.1905972,0.396297,0.0458365,WWGI
Timor-Leste,TLS,2005,-0.5644838,-0.9939452,-0.5022837,WWGI
Tonga,TON,2005,-1.329141,-0.547692,0.529748,WWGI
Turkmenistan,TKM,2005,-1.464484,-1.607924,-1.614356,WWGI
Tuvalu,TUV,2005,-0.1148843,0.0230278,1.272245,WWGI
Uzbekistan,UZB,2005,-1.226991,-1.207045,-1.462433,WWGI
Vanuatu,VUT,2005,0.235829,-0.2873107,0.5135381,WWGI
Vietnam,VNM,2005,-0.7242912,-0.2346346,-0.3248107,WWGI
Afghanistan,AFG,2006,-1.43289,-1.430343,-1.863189,WWGI
Armenia,ARM,2006,-0.6708225,-0.2545792,-0.5464354,WWGI
Australia,AUS,2006,1.960568,1.711956,1.77004,WWGI
Azerbaijan,AZE,2006,-1.089759,-0.6535253,-0.8850427,WWGI
Bangladesh,BGD,2006,-1.434258,-0.8245271,-0.9039655,WWGI
Bhutan,BTN,2006,0.8159847,0.2366175,0.1937875,WWGI
Brunei Darussalam,BRN,2006,0.2077921,0.8732989,0.1228208,WWGI
Cambodia,KHM,2006,-1.253652,-0.966638,-1.234537,WWGI
China,CHN,2006,-0.5145814,0.0704749,-0.6394754,WWGI
"Hong Kong SAR, China",HKG,2006,1.866716,1.914575,1.55219,WWGI
Cook Islands,COK,2006,0.6034251,0.6099446,0.9527782,WWGI
Fiji,FJI,2006,0.0088322,-0.0913989,-0.0644722,WWGI
Georgia,GEO,2006,0.0443966,-0.2444875,-0.4639046,WWGI
India,IND,2006,-0.276444,-0.0983199,0.1773311,WWGI
Indonesia,IDN,2006,-0.8384197,-0.3315875,-0.7190338,WWGI
Japan,JPN,2006,1.329219,1.589435,1.363448,WWGI
Kazakhstan,KAZ,2006,-0.9921018,-0.4263095,-1.015587,WWGI
Kiribati,KIR,2006,0.0480343,-0.4884038,0.8492128,WWGI
Kyrgyz Republic,KGZ,2006,-1.317895,-0.8058547,-1.313625,WWGI
Lao PDR,LAO,2006,-1.314594,-0.9770249,-1.01524,WWGI
Malaysia,MYS,2006,0.2340544,1.267115,0.4673473,WWGI
Maldives,MDV,2006,-0.5997719,0.1291752,-0.0666002,WWGI
Marshall Islands,MHL,2006,-0.5547745,-1.156603,0.0318772,WWGI
"Micronesia, Fed. Sts.",FSM,2006,-0.2524891,-0.3004403,0.684762,WWGI
Mongolia,MNG,2006,-0.5846398,-0.4841076,-0.3195785,WWGI
Myanmar,MMR,2006,-1.657953,-1.453449,-1.533385,WWGI
Nauru,NRU,2006,,,0.9949803,WWGI
Nepal,NPL,2006,-0.6936904,-0.9054664,-0.6230243,WWGI
New Zealand,NZL,2006,2.333123,1.587881,1.808222,WWGI
Papua New Guinea,PNG,2006,-1.135809,-0.7484823,-0.8270267,WWGI
Niue,NIU,2006,,,,WWGI
Pakistan,PAK,2006,-0.8135825,-0.375228,-0.8564096,WWGI
Palau,PLW,2006,,,0.9949803,WWGI
Philippines,PHL,2006,-0.8302639,-0.1313469,-0.4109581,WWGI
Samoa,WSM,2006,0.2411329,0.3234423,0.9399202,WWGI
Singapore,SGP,2006,2.185165,2.212474,1.586578,WWGI
Solomon Islands,SLB,2006,-0.2189573,-1.008063,-0.6041252,WWGI
"Korea, Rep.",KOR,2006,0.3483674,1.045397,0.8714592,WWGI
Sri Lanka,LKA,2006,-0.2000842,-0.1612208,0.1753448,WWGI
"Taiwan, China",TWN,2006,0.5339415,1.196756,0.7837842,WWGI
Tajikistan,TJK,2006,-1.033867,-1.057266,-1.178524,WWGI
Thailand,THA,2006,-0.3842641,0.4517171,-0.0557727,WWGI
Timor-Leste,TLS,2006,-0.6023827,-1.195935,-1.094152,WWGI
Tonga,TON,2006,-1.339974,-0.6578344,0.5859073,WWGI
Turkmenistan,TKM,2006,-1.523663,-1.52604,-1.640511,WWGI
Tuvalu,TUV,2006,-0.0989187,-0.337794,1.090415,WWGI
Uzbekistan,UZB,2006,-1.004751,-1.155262,-1.446826,WWGI
Vanuatu,VUT,2006,0.1670396,-0.4303628,0.5475889,WWGI
Vietnam,VNM,2006,-0.7458543,-0.2475519,-0.5208681,WWGI
Afghanistan,AFG,2007,-1.587331,-1.403352,-1.829666,WWGI
Armenia,ARM,2007,-0.7423844,-0.3758438,-0.4983765,WWGI
Australia,AUS,2007,2.010918,1.825559,1.761237,WWGI
Azerbaijan,AZE,2007,-1.122895,-0.7891765,-0.87931,WWGI
Bangladesh,BGD,2007,-1.056078,-0.7045036,-0.8267857,WWGI
Bhutan,BTN,2007,0.8810524,0.2958726,0.3385213,WWGI
Brunei Darussalam,BRN,2007,0.2146689,0.9243966,0.4125388,WWGI
Cambodia,KHM,2007,-1.145038,-0.9037987,-1.142244,WWGI
China,CHN,2007,-0.5896475,0.1827777,-0.5422143,WWGI
"Hong Kong SAR, China",HKG,2007,1.917979,1.870795,1.526227,WWGI
Cook Islands,COK,2007,1.047707,0.7285443,0.5134499,WWGI
Fiji,FJI,2007,-0.0465872,-0.4322089,-0.6009282,WWGI
Georgia,GEO,2007,-0.1345587,0.1105726,-0.346999,WWGI
India,IND,2007,-0.3981131,0.1219054,0.0937817,WWGI
Indonesia,IDN,2007,-0.6190162,-0.2771957,-0.6814666,WWGI
Japan,JPN,2007,1.238238,1.447718,1.335137,WWGI
Kazakhstan,KAZ,2007,-0.9900697,-0.5798957,-0.9477491,WWGI
Kiribati,KIR,2007,0.0995177,-0.6684599,0.7565856,WWGI
Kyrgyz Republic,KGZ,2007,-1.31999,-0.7781291,-1.318499,WWGI
Lao PDR,LAO,2007,-1.269775,-0.8988742,-0.9570118,WWGI
Malaysia,MYS,2007,0.1920508,1.238987,0.4377053,WWGI
Maldives,MDV,2007,-0.8566247,0.0750399,-0.1642235,WWGI
Marshall Islands,MHL,2007,-0.6098314,-1.28839,-0.016319,WWGI
"Micronesia, Fed. Sts.",FSM,2007,-0.3385304,-0.7275328,0.6169169,WWGI
Mongolia,MNG,2007,-0.6148518,-0.5388252,-0.3474436,WWGI
Myanmar,MMR,2007,-1.625108,-1.480536,-1.547747,WWGI
Nauru,NRU,2007,-0.3528202,-0.5789648,0.5139782,WWGI
Nepal,NPL,2007,-0.7883176,-0.7107469,-0.5932156,WWGI
New Zealand,NZL,2007,2.328567,1.664326,1.844565,WWGI
Papua New Guinea,PNG,2007,-1.107466,-0.6539661,-0.8580712,WWGI
Niue,NIU,2007,,,,WWGI
Pakistan,PAK,2007,-0.8167263,-0.479456,-0.8870074,WWGI
Palau,PLW,2007,,,0.8900374,WWGI
Philippines,PHL,2007,-0.719775,0.0731165,-0.4642206,WWGI
Samoa,WSM,2007,0.246864,0.2026847,0.888678,WWGI
Singapore,SGP,2007,2.241867,2.375459,1.612359,WWGI
Solomon Islands,SLB,2007,-0.3899688,-1.078741,-0.7863567,WWGI
"Korea, Rep.",KOR,2007,0.6020547,1.236837,1.029149,WWGI
Sri Lanka,LKA,2007,-0.1529482,-0.0842959,0.1295962,WWGI
"Taiwan, China",TWN,2007,0.5250053,1.114303,0.7894508,WWGI
Tajikistan,TJK,2007,-1.036954,-1.110595,-1.292668,WWGI
Thailand,THA,2007,-0.3694969,0.3614826,-0.1189613,WWGI
Timor-Leste,TLS,2007,-0.6503537,-1.131906,-1.192855,WWGI
Tonga,TON,2007,-1.039538,-0.4798011,0.4569988,WWGI
Turkmenistan,TKM,2007,-1.523284,-1.4318,-1.57191,WWGI
Tuvalu,TUV,2007,-0.236194,-0.4507216,1.004729,WWGI
Uzbekistan,UZB,2007,-1.031079,-1.113672,-1.221515,WWGI
Vanuatu,VUT,2007,0.2271524,-0.4346451,0.5561355,WWGI
Vietnam,VNM,2007,-0.6293012,-0.2405104,-0.4924903,WWGI
Afghanistan,AFG,2008,-1.638287,-1.496089,-1.86438,WWGI
Armenia,ARM,2008,-0.7080976,-0.1726939,-0.3405266,WWGI
Australia,AUS,2008,2.042482,1.79397,1.770851,WWGI
Azerbaijan,AZE,2008,-1.148548,-0.7735335,-0.8324519,WWGI
Bangladesh,BGD,2008,-1.034565,-0.7324244,-0.7501396,WWGI
Bhutan,BTN,2008,0.8581817,0.2825854,0.3841602,WWGI
Brunei Darussalam,BRN,2008,0.4911537,0.8885025,0.4651492,WWGI
Cambodia,KHM,2008,-1.231375,-0.9887551,-1.148304,WWGI
China,CHN,2008,-0.5202951,0.150768,-0.4197974,WWGI
"Hong Kong SAR, China",HKG,2008,1.901366,1.856298,1.489005,WWGI
Cook Islands,COK,2008,,,,WWGI
Fiji,FJI,2008,-0.0481335,-0.7335429,-0.5614722,WWGI
Georgia,GEO,2008,-0.108393,0.2967184,-0.2673092,WWGI
India,IND,2008,-0.3371764,-0.0191939,0.0860389,WWGI
Indonesia,IDN,2008,-0.5937,-0.2372018,-0.6538706,WWGI
Japan,JPN,2008,1.335973,1.460432,1.318866,WWGI
Kazakhstan,KAZ,2008,-0.9782891,-0.4615707,-0.8240984,WWGI
Kiribati,KIR,2008,-0.0265449,-0.6963969,0.3530946,WWGI
Kyrgyz Republic,KGZ,2008,-1.222449,-0.7883915,-1.371563,WWGI
Lao PDR,LAO,2008,-1.197019,-0.8755752,-0.8692254,WWGI
Malaysia,MYS,2008,-0.047309,1.108519,0.3449331,WWGI
Maldives,MDV,2008,-0.8181251,-0.2293086,-0.1847449,WWGI
Marshall Islands,MHL,2008,-0.5667388,-1.304649,0.203876,WWGI
"Micronesia, Fed. Sts.",FSM,2008,-0.3131559,-0.72589,0.341098,WWGI
Mongolia,MNG,2008,-0.661201,-0.5280833,-0.3458996,WWGI
Myanmar,MMR,2008,-1.616428,-1.530751,-1.541819,WWGI
Nauru,NRU,2008,-0.3233833,-0.4321648,0.3719442,WWGI
Nepal,NPL,2008,-0.8086575,-0.8005978,-0.6734937,WWGI
