iso,year,data_source,country_name,A1,A2,A3,A_avg,B4,B5,B6,B_avg,C7,C8,C9,C10,C11,C_avg,D12,D13,D14,D15,D16,D_avg,portfolio,overall_rating
MMR,2007,ADB_CPA,Myanmar,,,,,,,,,,,,,,,,,,,,,,
MMR,2008,ADB_CPA,Myanmar,,,,,,,,,,,,,,,,,,,,,,
MMR,2009,ADB_CPA,Myanmar,,,,,,,,,,,,,,,,,,,,,,
MMR,2010,ADB_CPA,Myanmar,,,,,,,,,,,,,,,,,,,,,,
MMR,2011,ADB_CPA,Myanmar,,,,,,,,,,,,,,,,,,,,,,
MMR,2012,ADB_CPA,Myanmar,,,,,,,,,,,,,,,,,,,,,,
MMR,2013,ADB_CPA,Myanmar,,,,,,,,,,,,,,,,,,,,,,
MMR,2014,ADB_CPA,Myanmar,3.5,3.5,4,3.7,3,2.5,2.5,2.7,3.5,3.5,3.5,3,2.5,3.2,3,3,3,3,3,3,4,3.1
MMR,2015,ADB_CPA,Myanmar,3.5,3.5,4,3.7,3,2.5,2.5,2.7,3.5,3.5,3.5,3,2.5,3.2,3,3,3,3,3,3,4,3.1
MMR,2016,ADB_CPA,Myanmar,3.5,3.5,4.5,3.8,3.5,3,2.5,3,4,4,3.5,3,2.5,3.4,3,3,3,3,3,3,2.5,3.3
MMR,2017,ADB_CPA,Myanmar,,,,,,,,,,,,,,,,,,,,,,
MMR,2018,ADB_CPA,Myanmar,3,3.5,4.5,3.7,4,3,3,3.3,4,4,4,3,2.5,3.5,3,3,3,3,3,3,4,3.4
MMR,2019,ADB_CPA,Myanmar,,,,,,,,,,,,,,,,,,,,,,
MMR,2020,ADB_CPA,Myanmar,3.5,3.5,4.5,3.8,4,3,3,3.3,4,4,4,3.5,2.5,3.6,3,3,3,3,3,3,2.5,3.4
MNG,2006,ADB_CPA,Mongolia,4,4,3.5,3.8,4.5,3.5,4,4,3.5,3.5,3.5,3.5,2.5,3.3,3.5,3.5,4,3.5,3.5,3.6,6,3.7
MNG,2007,ADB_CPA,Mongolia,4.5,4.5,4,4.3,4.5,3.5,4,4,3.5,4,4,3.5,3,3.6,3.5,4,4,3.5,3.5,3.7,4,3.9
MNG,2008,ADB_CPA,Mongolia,4.5,4,4,4.2,4.5,3.5,4,4,3.5,4.5,4,4,3,3.8,3.5,4,4.5,3.5,3.5,3.8,4,3.9
MNG,2009,ADB_CPA,Mongolia,3.5,3.5,4,3.7,4.5,3,4,3.8,3.5,4,4,4,3,3.7,3.5,4,4.5,3.5,3.5,3.8,4.5,3.8
MNG,2010,ADB_CPA,Mongolia,4,3.5,4,3.8,4.5,3.5,4.5,4.2,4,4,4,4,3,3.8,4,4,4.5,3.5,3.5,3.9,3,3.9
