country_name,iso,year,"CPIA transparency, accountability, and corruption in the public sector rating (1=low to 6=high)",CPIA quality of public administration rating (1=low to 6=high),CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),data_source
"Micronesia, Fed. Sts.",FSM,2007,,,,CPIA
Mongolia,MNG,2007,3,3.5,3,CPIA
Myanmar,MMR,2007,,,,CPIA
Nepal,NPL,2007,3,3,3,CPIA
Pakistan,PAK,2007,2.5,3.5,3.5,CPIA
Papua New Guinea,PNG,2007,3,2.5,2,CPIA
Samoa,WSM,2007,4,4,4,CPIA
Solomon Islands,SLB,2007,3,2,2,CPIA
Sri Lanka,LKA,2007,3,3,3.5,CPIA
Tajikistan,TJK,2007,2,2.5,2.5,CPIA
Timor-Leste,TLS,2007,3,2.5,2.5,CPIA
Tuvalu,TUV,2007,,,,CPIA
Uzbekistan,UZB,2007,1.5,2.5,3.5,CPIA
Vietnam,VNM,2007,3,3.5,3.5,CPIA
Vanuatu,VUT,2007,3,2.5,3,CPIA
Afghanistan,AFG,2008,2,2,2.5,CPIA
Armenia,ARM,2008,3,4,3,CPIA
Bangladesh,BGD,2008,3,3,3,CPIA
Bhutan,BTN,2008,4,4,4.5,CPIA
Cambodia,KHM,2008,2.5,2.5,3,CPIA
Fiji,FJI,2008,,,,CPIA
Georgia,GEO,2008,3,4,3,CPIA
India,IND,2008,3.5,3.5,3.5,CPIA
Kiribati,KIR,2008,3,3,3,CPIA
Kyrgyz Republic,KGZ,2008,2.5,3,3,CPIA
Lao PDR,LAO,2008,2,3,4,CPIA
Maldives,MDV,2008,2.5,4,4,CPIA
Marshall Islands,MHL,2008,,,,CPIA
"Micronesia, Fed. Sts.",FSM,2008,,,,CPIA
Mongolia,MNG,2008,3,3.5,3,CPIA
Myanmar,MMR,2008,,,,CPIA
Nepal,NPL,2008,3,3,3,CPIA
Pakistan,PAK,2008,2.5,3.5,3,CPIA
Papua New Guinea,PNG,2008,3,2.5,2,CPIA
Samoa,WSM,2008,4,4,4,CPIA
Solomon Islands,SLB,2008,3,2,2,CPIA
Sri Lanka,LKA,2008,3,3,3.5,CPIA
Tajikistan,TJK,2008,2,2.5,3,CPIA
Timor-Leste,TLS,2008,3,2.5,2.5,CPIA
Tuvalu,TUV,2008,,,,CPIA
Uzbekistan,UZB,2008,1.5,3,3.5,CPIA
Vietnam,VNM,2008,3,3.5,3.5,CPIA
Vanuatu,VUT,2008,3,3,3,CPIA
Afghanistan,AFG,2009,2,2,2.5,CPIA
Armenia,ARM,2009,3,4,3,CPIA
Bangladesh,BGD,2009,3,3,3,CPIA
Bhutan,BTN,2009,4.5,4,4.5,CPIA
Cambodia,KHM,2009,2,2.5,3,CPIA
Fiji,FJI,2009,,,,CPIA
Georgia,GEO,2009,3,4,3,CPIA
India,IND,2009,3.5,3.5,3.5,CPIA
Kiribati,KIR,2009,3,3,3,CPIA
Kyrgyz Republic,KGZ,2009,2.5,3,3,CPIA
Lao PDR,LAO,2009,2,3,4,CPIA
Maldives,MDV,2009,3,3.5,4,CPIA
Marshall Islands,MHL,2009,,,,CPIA
"Micronesia, Fed. Sts.",FSM,2009,,,,CPIA
Mongolia,MNG,2009,3,3.5,3,CPIA
Myanmar,MMR,2009,,,,CPIA
Nepal,NPL,2009,3,3,3.5,CPIA
Pakistan,PAK,2009,2.5,3.5,3,CPIA
Papua New Guinea,PNG,2009,3,2.5,2,CPIA
Samoa,WSM,2009,4,4,4,CPIA
Solomon Islands,SLB,2009,3,2,2,CPIA
Sri Lanka,LKA,2009,3,3,3.5,CPIA
Tajikistan,TJK,2009,2,3,3,CPIA
Timor-Leste,TLS,2009,3,2.5,2.5,CPIA
Tuvalu,TUV,2009,,,,CPIA
Uzbekistan,UZB,2009,1.5,3,3.5,CPIA
Vietnam,VNM,2009,3,3.5,3.5,CPIA
Vanuatu,VUT,2009,3,3,3,CPIA
Afghanistan,AFG,2010,2,2,2.5,CPIA
Armenia,ARM,2010,3,4,3,CPIA
Bangladesh,BGD,2010,3,3,3,CPIA
Bhutan,BTN,2010,4.5,4,4.5,CPIA
Cambodia,KHM,2010,2,2.5,3,CPIA
Fiji,FJI,2010,,,,CPIA
Georgia,GEO,2010,3.5,4,3,CPIA
India,IND,2010,3.5,3.5,3.5,CPIA
Kiribati,KIR,2010,3,3,3,CPIA
Kyrgyz Republic,KGZ,2010,2.5,3,3,CPIA
Lao PDR,LAO,2010,2.5,3,4,CPIA
Maldives,MDV,2010,3,3.5,4,CPIA
Marshall Islands,MHL,2010,,,,CPIA
"Micronesia, Fed. Sts.",FSM,2010,,,,CPIA
Mongolia,MNG,2010,3,3.5,3,CPIA
Myanmar,MMR,2010,,,,CPIA
Nepal,NPL,2010,2.5,3,3.5,CPIA
Pakistan,PAK,2010,2.5,3.5,2.5,CPIA
Papua New Guinea,PNG,2010,3,3,2,CPIA
Samoa,WSM,2010,4,4,4,CPIA
Solomon Islands,SLB,2010,3,2,2,CPIA
Sri Lanka,LKA,2010,3,3,3,CPIA
Tajikistan,TJK,2010,2,3,3,CPIA
Timor-Leste,TLS,2010,3,2.5,2.5,CPIA
Tuvalu,TUV,2010,,,,CPIA
Uzbekistan,UZB,2010,1.5,3,3.5,CPIA
Vietnam,VNM,2010,3,3.5,3.5,CPIA
Vanuatu,VUT,2010,3,3,3,CPIA
Afghanistan,AFG,2011,2,2.5,2.5,CPIA
Armenia,ARM,2011,3,3.5,3,CPIA
Bangladesh,BGD,2011,2.5,3,2.5,CPIA
Bhutan,BTN,2011,4.5,4,4,CPIA
Cambodia,KHM,2011,2,2.5,3,CPIA
Fiji,FJI,2011,,,,CPIA
Georgia,GEO,2011,3.5,3.5,3,CPIA
India,IND,2011,3.5,3.5,3.5,CPIA
Kiribati,KIR,2011,3.5,3,3,CPIA
Kyrgyz Republic,KGZ,2011,2.5,3,2.5,CPIA
Lao PDR,LAO,2011,2.5,3,4,CPIA
Maldives,MDV,2011,3,3.5,4,CPIA
Marshall Islands,MHL,2011,3.5,2,3,CPIA
"Micronesia, Fed. Sts.",FSM,2011,3,2.5,3,CPIA
Mongolia,MNG,2011,3.5,3.5,3,CPIA
Myanmar,MMR,2011,,,,CPIA
Nepal,NPL,2011,3,3,3.5,CPIA
Pakistan,PAK,2011,2.5,3.5,2.5,CPIA
Papua New Guinea,PNG,2011,3,3,2,CPIA
Samoa,WSM,2011,4,4,4,CPIA
Solomon Islands,SLB,2011,3,2,2,CPIA
Sri Lanka,LKA,2011,3,3,2.5,CPIA
Tajikistan,TJK,2011,2.5,3,3,CPIA
Timor-Leste,TLS,2011,2.5,2,2,CPIA
Tuvalu,TUV,2011,,,,CPIA
Uzbekistan,UZB,2011,2,3,3.5,CPIA
Vietnam,VNM,2011,3,3.5,3.5,CPIA
Vanuatu,VUT,2011,3,3,3,CPIA
Afghanistan,AFG,2012,2,2.5,2.5,CPIA
Armenia,ARM,2012,3.5,3.5,3,CPIA
Bangladesh,BGD,2012,2.5,3,2.5,CPIA
Bhutan,BTN,2012,4.5,4,4,CPIA
Cambodia,KHM,2012,2,2.5,3,CPIA
Fiji,FJI,2012,,,,CPIA
Georgia,GEO,2012,3.5,4,3,CPIA
India,IND,2012,3.5,3.5,4,CPIA
Kiribati,KIR,2012,3.5,3,3,CPIA
Kyrgyz Republic,KGZ,2012,3,3,2.5,CPIA
Lao PDR,LAO,2012,2.5,3,4,CPIA
Maldives,MDV,2012,3,3.5,4,CPIA
Marshall Islands,MHL,2012,3.5,2,3,CPIA
"Micronesia, Fed. Sts.",FSM,2012,3.5,2.5,3,CPIA
Mongolia,MNG,2012,3.5,3.5,3.5,CPIA
Myanmar,MMR,2012,,,,CPIA
Nepal,NPL,2012,3,3,3.5,CPIA
Pakistan,PAK,2012,2.5,3.5,2.5,CPIA
Papua New Guinea,PNG,2012,3,3,2,CPIA
Samoa,WSM,2012,4,4,4,CPIA
Solomon Islands,SLB,2012,3,2,2.5,CPIA
Sri Lanka,LKA,2012,3,3,2.5,CPIA
Tajikistan,TJK,2012,2.5,3,3,CPIA
Timor-Leste,TLS,2012,2.5,2,2,CPIA
Tuvalu,TUV,2012,3,2.5,3,CPIA
Uzbekistan,UZB,2012,2,3,3.5,CPIA
Vietnam,VNM,2012,3,3.5,3.5,CPIA
Vanuatu,VUT,2012,3.5,3,3,CPIA
Afghanistan,AFG,2013,2,2.5,2.5,CPIA
Armenia,ARM,2013,3.5,3.5,3,CPIA
