country_name,iso,year,value.Control of Corruption: Estimate,value.Government Effectiveness: Estimate,value.Political Stability and Absence of Violence/Terrorism: Estimate,value.Regulatory Quality: Estimate,value.Rule of Law: Estimate,value.Voice and Accountability: Estimate,data_source
Afghanistan,AFG,2016,-1.526172,-1.226401,-2.671054,-1.327688,-1.498478,-1.037838,WWGI
Armenia,ARM,2016,-0.571828,-0.1583772,-0.6622638,0.2500556,-0.119234,-0.5792814,WWGI
Australia,AUS,2016,1.816108,1.568043,1.047958,1.896966,1.755667,1.353702,WWGI
Azerbaijan,AZE,2016,-0.8383624,-0.165814,-0.8038791,-0.2820228,-0.5200193,-1.561036,WWGI
Bangladesh,BGD,2016,-0.8569472,-0.678781,-1.261937,-0.7966801,-0.6636689,-0.5838786,WWGI
Bhutan,BTN,2016,1.126535,0.5002068,1.123297,-0.6651375,0.4934784,-0.0259183,WWGI
Brunei Darussalam,BRN,2016,0.5684822,1.083784,1.154172,0.5933974,0.5616808,-0.9010094,WWGI
Cambodia,KHM,2016,-1.272752,-0.6942337,0.2110379,-0.4652204,-1.063893,-1.105392,WWGI
Cook Islands,COK,2016,,,,,,,WWGI
"Micronesia, Fed. Sts.",FSM,2016,0.6546528,-0.3351288,1.057582,-0.9661163,-0.050868,1.147597,WWGI
Fiji,FJI,2016,0.130379,-0.2490013,0.917815,-0.3770984,-0.2745952,0.0285497,WWGI
Georgia,GEO,2016,0.6854092,0.5179425,-0.3132915,1.008661,0.3836238,0.2952145,WWGI
"Hong Kong SAR, China",HKG,2016,1.561693,1.841636,0.7508071,2.153887,1.722995,0.3772678,WWGI
India,IND,2016,-0.2821474,0.0749455,-0.9538398,-0.306505,-0.0289695,0.4409836,WWGI
Indonesia,IDN,2016,-0.3992099,0.0074111,-0.3729524,-0.1223439,-0.3448857,0.1679469,WWGI
Japan,JPN,2016,1.524966,1.821532,0.9829442,1.428122,1.421093,0.9836274,WWGI
Kazakhstan,KAZ,2016,-0.8165768,-0.0672612,0.0084575,-0.0997007,-0.4352354,-1.205579,WWGI
Kiribati,KIR,2016,0.2496047,-0.4339803,0.8732361,-0.8390459,0.2362976,1.004908,WWGI
Kyrgyz Republic,KGZ,2016,-1.079152,-0.8957096,-0.6468619,-0.3526321,-1.023083,-0.4186765,WWGI
Lao PDR,LAO,2016,-0.952299,-0.3983734,0.5322913,-0.7248681,-0.7960193,-1.759197,WWGI
Malaysia,MYS,2016,0.09614,0.8654159,0.1368246,0.7117952,0.4991277,-0.4169864,WWGI
Maldives,MDV,2016,-0.666067,-0.3215832,0.4209928,-0.457905,-0.4077393,-0.7330201,WWGI
Marshall Islands,MHL,2016,-0.0510468,-1.56623,0.2077492,-0.9765467,-0.0982721,1.191461,WWGI
Mongolia,MNG,2016,-0.4870812,-0.0982263,0.7977929,-0.0763125,-0.2203148,0.3327664,WWGI
Myanmar,MMR,2016,-0.6210097,-0.9763568,-0.8046199,-0.8683162,-0.8871843,-0.7967733,WWGI
Nauru,NRU,2016,-0.4280255,-0.6884593,0.5790772,-0.3848716,-0.7754999,0.5079076,WWGI
New Zealand,NZL,2016,2.283908,1.842496,1.519183,2.038275,1.95464,1.533283,WWGI
Niue,NIU,2016,,,,,,,WWGI
Pakistan,PAK,2016,-0.8753213,-0.6534616,-2.483173,-0.6395842,-0.8045743,-0.699441,WWGI
Palau,PLW,2016,-0.4280255,-0.4018162,0.9504054,-0.17747,0.3240755,1.213394,WWGI
Papua New Guinea,PNG,2016,-0.9332389,-0.7375593,-0.5047721,-0.5559897,-0.7766212,0.1584232,WWGI
China,CHN,2016,-0.2539508,0.3545941,-0.499395,-0.2644748,-0.3345477,-1.559632,WWGI
Philippines,PHL,2016,-0.4881241,-0.0104617,-1.379819,-0.0041014,-0.3550694,0.1634221,WWGI
"Korea, Rep.",KOR,2016,0.4569813,1.063653,0.163469,1.114325,1.160903,0.6415861,WWGI
Samoa,WSM,2016,0.2764556,0.5403722,1.197349,-0.1030717,0.761978,0.7743595,WWGI
Solomon Islands,SLB,2016,-0.3442692,-0.9847264,0.5060284,-0.9580071,-0.3190676,0.4674503,WWGI
Sri Lanka,LKA,2016,-0.3106176,-0.0263917,-0.0040295,-0.1000357,0.1105179,-0.0810782,WWGI
Tajikistan,TJK,2016,-1.14638,-1.026927,-0.7777599,-1.093137,-1.148247,-1.689523,WWGI
Thailand,THA,2016,-0.3888684,0.3417524,-0.9885814,0.1680702,-0.0049648,-1.023132,WWGI
Timor-Leste,TLS,2016,-0.510558,-1.014373,-0.0105038,-0.9773058,-1.158385,0.2208168,WWGI
Tonga,TON,2016,-0.4450608,-0.2822334,0.917815,-0.4052489,0.2584811,0.6427538,WWGI
Turkmenistan,TKM,2016,-1.518446,-1.126665,-0.1896925,-2.090988,-1.490112,-2.170843,WWGI
Tuvalu,TUV,2016,0.030646,-0.9257045,1.413419,-0.5901173,0.4657974,1.0818,WWGI
Uzbekistan,UZB,2016,-1.168731,-0.5774477,-0.2725707,-1.619923,-1.107054,-1.886858,WWGI
Vanuatu,VUT,2016,-0.0958526,-0.8800073,0.5131139,-0.2931163,0.3382198,0.664171,WWGI
Vietnam,VNM,2016,-0.452351,0.0194756,0.2335919,-0.4537929,0.0752823,-1.373433,WWGI
Nepal,NPL,2017,-0.7522711,-0.8836535,-0.6106943,-0.71452,-0.677187,-0.2036085,WWGI
Afghanistan,AFG,2017,-1.515626,-1.325545,-2.801084,-1.336691,-1.562423,-0.9908541,WWGI
Armenia,ARM,2017,-0.5633132,-0.1026952,-0.6207712,0.2805222,-0.1606279,-0.5608286,WWGI
Australia,AUS,2017,1.798351,1.538219,0.8960608,1.933411,1.686461,1.375636,WWGI
Azerbaijan,AZE,2017,-0.8853079,-0.1726412,-0.7479199,-0.2449824,-0.5575179,-1.563684,WWGI
Bangladesh,BGD,2017,-0.8317032,-0.7350984,-1.256081,-0.8055848,-0.6718881,-0.6150656,WWGI
Bhutan,BTN,2017,1.553321,0.5571043,1.11713,-0.3313459,0.611513,0.0109287,WWGI
Brunei Darussalam,BRN,2017,0.7151719,1.146735,1.160305,0.7176718,0.6497172,-0.9486977,WWGI
Cambodia,KHM,2017,-1.289828,-0.659631,0.091222,-0.5016114,-1.053886,-1.154714,WWGI
Cook Islands,COK,2017,,,,,,,WWGI
"Micronesia, Fed. Sts.",FSM,2017,0.7213003,0.0467935,1.178782,-0.9869629,-0.0229299,1.146132,WWGI
Fiji,FJI,2017,0.3450749,0.0698404,0.619655,-0.223414,-0.2647003,0.1228353,WWGI
Georgia,GEO,2017,0.7407625,0.5757037,-0.3707961,1.051975,0.3208365,0.2647963,WWGI
"Hong Kong SAR, China",HKG,2017,1.618103,1.905391,0.8294839,2.166828,1.722528,0.4282603,WWGI
India,IND,2017,-0.2419506,0.0868715,-0.7648019,-0.2529919,-0.0012233,0.3870479,WWGI
Indonesia,IDN,2017,-0.2548542,0.0383757,-0.4979034,-0.1051562,-0.349676,0.131601,WWGI
Japan,JPN,2017,1.525538,1.619905,1.112167,1.376554,1.57062,1.003693,WWGI
Kazakhstan,KAZ,2017,-0.820714,0.0036757,0.0288013,0.1709108,-0.4140919,-1.247189,WWGI
Kiribati,KIR,2017,0.3631015,-0.2675972,0.8814256,-0.8283504,0.4754284,1.047755,WWGI
Kyrgyz Republic,KGZ,2017,-1.056221,-0.7085057,-0.375253,-0.3495833,-0.9245595,-0.4308959,WWGI
Lao PDR,LAO,2017,-0.9369708,-0.3854913,0.3966877,-0.7200474,-0.8810804,-1.751465,WWGI
Malaysia,MYS,2017,0.0590311,0.8348417,0.1164103,0.7246627,0.4976971,-0.3988987,WWGI
Maldives,MDV,2017,-0.7923263,-0.4604082,0.2320411,-0.4215108,-0.6224615,-0.7411916,WWGI
Marshall Islands,MHL,2017,-0.0533027,-1.530098,0.8745483,-1.028267,0.092149,1.189854,WWGI
Mongolia,MNG,2017,-0.454145,-0.2675595,0.7889858,-0.1161962,-0.306502,0.293299,WWGI
Myanmar,MMR,2017,-0.565286,-1.046625,-1.084839,-0.8298815,-0.9440181,-0.8646715,WWGI
Nauru,NRU,2017,-0.4712846,-0.4331815,0.5188398,-1.096113,-0.7277977,0.5085089,WWGI
New Zealand,NZL,2017,2.244731,1.769038,1.595223,2.09194,1.927889,1.558655,WWGI
Niue,NIU,2017,,,,,,,WWGI
Pakistan,PAK,2017,-0.779681,-0.596828,-2.406306,-0.5919536,-0.7241798,-0.6934352,WWGI
Palau,PLW,2017,-0.4712846,-0.2280606,0.8745483,-0.5965419,0.2858942,1.211716,WWGI
Papua New Guinea,PNG,2017,-0.9014524,-0.6654483,-0.6978666,-0.651908,-0.823908,0.1328718,WWGI
China,CHN,2017,-0.27085,0.4137717,-0.2310181,-0.1467606,-0.2667109,-1.503779,WWGI
Philippines,PHL,2017,-0.476546,-0.0546969,-1.18508,0.019665,-0.417701,0.0841495,WWGI
"Korea, Rep.",KOR,2017,0.4832031,1.075108,0.385621,1.107531,1.167174,0.7572567,WWGI
Samoa,WSM,2017,0.6232969,0.5906206,1.178782,-0.0800506,0.8020398,0.7765051,WWGI
Solomon Islands,SLB,2017,0.0982467,-1.011195,0.1990407,-0.7953451,-0.2301479,0.4899799,WWGI
Sri Lanka,LKA,2017,-0.4532179,-0.1512185,-0.0711655,-0.1308368,0.0484503,-0.0619051,WWGI
Tajikistan,TJK,2017,-1.331715,-1.107547,-0.6735291,-1.058203,-1.349738,-1.721339,WWGI
Thailand,THA,2017,-0.3881467,0.3820223,-0.7528449,0.1410585,0.0373115,-1.045534,WWGI
Timor-Leste,TLS,2017,-0.543368,-0.9976667,0.0715113,-0.7369812,-1.162094,0.3432258,WWGI
Tonga,TON,2017,-0.182631,-0.2221107,0.7902956,-0.3959075,0.2669213,0.6030468,WWGI
Turkmenistan,TKM,2017,-1.475602,-1.214653,-0.1259023,-1.996331,-1.481706,-2.159949,WWGI
Tuvalu,TUV,2017,0.035612,-0.74608,1.241721,-0.7858735,0.5117167,1.080547,WWGI
Uzbekistan,UZB,2017,-1.157735,-0.5541742,-0.2378505,-1.258372,-1.106031,-1.79736,WWGI
Vanuatu,VUT,2017,-0.0056426,-0.8916905,0.701278,-0.330114,0.445055,0.6946404,WWGI
Vietnam,VNM,2017,-0.5843227,0.0056701,0.2302038,-0.397156,0.0623794,-1.41114,WWGI
Nepal,NPL,2018,-0.6708352,-0.8982426,-0.5617288,-0.7379818,-0.4775418,-0.1357345,WWGI
Afghanistan,AFG,2018,-1.487624,-1.453096,-2.763864,-1.133277,-1.664038,-1.011603,WWGI
Armenia,ARM,2018,-0.3475996,-0.0284142,-0.4449081,0.3279592,-0.1494592,-0.1379438,WWGI
Australia,AUS,2018,1.805214,1.595232,0.989604,1.902706,1.715382,1.380593,WWGI
Azerbaijan,AZE,2018,-0.8364836,-0.158052,-0.7067598,-0.1973939,-0.587534,-1.511334,WWGI
Bangladesh,BGD,2018,-0.8999589,-0.7402487,-0.9956784,-0.8343157,-0.6409807,-0.747334,WWGI
Bhutan,BTN,2018,1.640953,0.3601472,1.093906,-0.3448173,0.5493638,0.0348506,WWGI
Brunei Darussalam,BRN,2018,0.7959561,1.251249,1.24136,0.6864314,0.6293485,-0.8626922,WWGI
Cambodia,KHM,2018,-1.311975,-0.5602662,0.1030418,-0.5016222,-1.112072,-1.236658,WWGI
Cook Islands,COK,2018,,,0.8568977,,,1.196756,WWGI
"Micronesia, Fed. Sts.",FSM,2018,0.7007195,-0.1060019,1.168875,-0.9650339,-0.0299164,1.112811,WWGI
Fiji,FJI,2018,0.3971153,0.2850353,0.862233,-0.2294028,-0.1363209,0.1304683,WWGI
Georgia,GEO,2018,0.7094994,0.611771,-0.4415736,1.125411,0.3277741,0.2208919,WWGI
"Hong Kong SAR, China",HKG,2018,1.675505,1.902525,0.7835555,2.226014,1.7715,0.4400779,WWGI
India,IND,2018,-0.1834787,0.2842539,-0.9870132,-0.2273288,0.0256504,0.3519836,WWGI
Indonesia,IDN,2018,-0.2497392,0.1805828,-0.5459081,-0.1469696,-0.315493,0.1543517,WWGI
Japan,JPN,2018,1.425326,1.674601,1.049072,1.342974,1.53421,0.9844933,WWGI
Kazakhstan,KAZ,2018,-0.4953896,0.0217261,-0.0452636,0.1237323,-0.4295568,-1.211343,WWGI
Kiribati,KIR,2018,0.3398819,-0.2469959,1.023675,-0.7787298,0.4763226,1.112811,WWGI
Kyrgyz Republic,KGZ,2018,-0.9493044,-0.6072606,-0.5388672,-0.3527106,-0.9044659,-0.3572986,WWGI
Lao PDR,LAO,2018,-0.9758381,-0.6694068,0.4081254,-0.7734566,-0.8390376,-1.752665,WWGI
Malaysia,MYS,2018,0.3161213,1.075026,0.2515688,0.6988706,0.6233432,-0.1071984,WWGI
Maldives,MDV,2018,-0.8770269,-0.4691004,0.0897951,-0.4773244,-0.5461846,-0.6811517,WWGI
Marshall Islands,MHL,2018,-0.0780323,-1.485737,0.7296695,-1.156026,-0.0482662,0.9293782,WWGI
Mongolia,MNG,2018,-0.4238776,-0.2292289,0.8336846,0.0233944,-0.2673786,0.2365272,WWGI
Myanmar,MMR,2018,-0.5807476,-1.065393,-1.268853,-0.7480327,-1.033026,-0.9051722,WWGI
Nauru,NRU,2018,-0.5525867,-0.0789918,0.7876214,-0.1430661,-0.6907547,0.4369614,WWGI
New Zealand,NZL,2018,2.174655,1.669032,1.533905,2.006682,1.876398,1.589525,WWGI
Niue,NIU,2018,,,0.9891694,,,1.516676,WWGI
Pakistan,PAK,2018,-0.785426,-0.6311114,-2.269401,-0.6377932,-0.6735412,-0.8190891,WWGI
Palau,PLW,2018,-0.5525867,-0.0143339,0.8498075,-0.0574309,0.3066581,1.112811,WWGI
Papua New Guinea,PNG,2018,-0.8735843,-0.6704652,-0.6772177,-0.5347608,-0.7689355,0.0567654,WWGI
China,CHN,2018,-0.2679587,0.4792704,-0.3000233,-0.1862563,-0.2028825,-1.463188,WWGI
Philippines,PHL,2018,-0.5422267,0.0531931,-1.092062,-0.0615247,-0.4749934,0.0136249,WWGI
"Korea, Rep.",KOR,2018,0.6063476,1.181159,0.6370728,1.102432,1.236651,0.7868221,WWGI
Samoa,WSM,2018,0.6334496,0.5919284,1.167804,-0.1136799,0.8072889,0.7721792,WWGI
Solomon Islands,SLB,2018,0.0072425,-1.018458,0.3645273,-0.8370585,-0.2328003,0.5233266,WWGI
Sri Lanka,LKA,2018,-0.3320415,-0.232434,-0.1452709,-0.1755948,0.0257045,-0.0154676,WWGI
Tajikistan,TJK,2018,-1.405362,-1.093717,-0.7474654,-1.047202,-1.278814,-1.701238,WWGI
Thailand,THA,2018,-0.3968431,0.3478801,-0.7996719,0.1023715,0.0227488,-1.022456,WWGI
Timor-Leste,TLS,2018,-0.4615829,-0.9660568,0.2340893,-0.791912,-1.127586,0.3135072,WWGI
Tonga,TON,2018,-0.0714803,0.1503263,0.8651862,-0.3497502,0.384106,0.6459597,WWGI
Turkmenistan,TKM,2018,-1.499961,-1.282505,-0.0128366,-2.003166,-1.465324,-2.154146,WWGI
Tuvalu,TUV,2018,0.0284043,-0.6643421,1.417627,-0.5861989,0.5117694,1.112811,WWGI
Uzbekistan,UZB,2018,-1.061625,-0.54734,-0.2958072,-1.082762,-1.069353,-1.630072,WWGI
Vanuatu,VUT,2018,-0.1547132,-0.4783626,0.9404865,-0.468573,0.3248068,0.5985762,WWGI
Vietnam,VNM,2018,-0.4807368,-0.0013799,0.0585088,-0.3494396,-0.0036924,-1.476469,WWGI
Nepal,NPL,2019,-0.6739821,-1.045521,-0.4538026,-0.7012125,-0.5353847,-0.1511171,WWGI
Afghanistan,AFG,2019,-1.400733,-1.463065,-2.655531,-1.12069,-1.713714,-1.006792,WWGI
Armenia,ARM,2019,-0.1782838,-0.0666463,-0.4134244,0.249007,-0.13098,0.0554766,WWGI
Australia,AUS,2019,1.825413,1.571555,0.9117457,1.873689,1.734473,1.267441,WWGI
Azerbaijan,AZE,2019,-0.8379928,-0.1401703,-0.6859124,-0.2269891,-0.5771515,-1.529508,WWGI
Bangladesh,BGD,2019,-0.9934731,-0.7402849,-0.9329753,-0.9290726,-0.6363772,-0.7418209,WWGI
Bhutan,BTN,2019,1.61838,0.3124391,1.082096,-0.3273374,0.5903587,0.074758,WWGI
Brunei Darussalam,BRN,2019,0.8022829,1.317982,1.108799,0.6345204,0.6143432,-0.9679027,WWGI
Cambodia,KHM,2019,-1.279862,-0.58005,-0.0894939,-0.5689112,-0.9357082,-1.220296,WWGI
Cook Islands,COK,2019,,,1.064757,,,1.051479,WWGI
"Micronesia, Fed. Sts.",FSM,2019,0.7507071,-0.1926782,1.108845,-0.9604086,0.0246855,1.146457,WWGI
Fiji,FJI,2019,0.5589681,0.1996178,0.7776704,-0.2190849,-0.0251812,0.0214153,WWGI
Georgia,GEO,2019,0.7007192,0.8287399,-0.4883826,1.121732,0.3104377,0.1687202,WWGI
"Hong Kong SAR, China",HKG,2019,1.690355,1.740746,-0.222178,1.983565,1.604442,0.1269743,WWGI
India,IND,2019,-0.2540472,0.1708809,-0.7708004,-0.1609437,-0.0304647,0.2690398,WWGI
Indonesia,IDN,2019,-0.4160329,0.1820512,-0.4934046,-0.0943936,-0.3424213,0.1321091,WWGI
Japan,JPN,2019,1.4672,1.586322,1.031847,1.32707,1.538249,0.9313421,WWGI
Kazakhstan,KAZ,2019,-0.30519,0.1240962,-0.1684883,0.1369649,-0.4321694,-1.230227,WWGI
Kiribati,KIR,2019,0.3708637,-0.2388186,1.128833,-0.6233603,0.7393795,1.065825,WWGI
Kyrgyz Republic,KGZ,2019,-0.9495352,-0.6816202,-0.2417716,-0.3474807,-0.8861678,-0.4542003,WWGI
Lao PDR,LAO,2019,-1.05815,-0.7853428,0.5163149,-0.7129982,-0.9408555,-1.816531,WWGI
Malaysia,MYS,2019,0.2520592,0.9974676,0.1438768,0.6732683,0.5916137,-0.0490037,WWGI
Maldives,MDV,2019,-0.2628275,-0.1961802,0.0320022,-0.4793369,-0.4102152,-0.4633412,WWGI
Marshall Islands,MHL,2019,-0.0471655,-1.471939,0.755262,-1.117219,-0.0309545,1.129077,WWGI
Mongolia,MNG,2019,-0.4290292,-0.1954342,0.6343787,-0.0118551,-0.2661898,0.3237541,WWGI
Myanmar,MMR,2019,-0.614939,-1.14944,-1.328067,-0.7607889,-1.063034,-0.8572587,WWGI
Nauru,NRU,2019,-0.4486384,-0.1297272,0.7728432,-0.0331743,-0.7639237,0.4707053,WWGI
New Zealand,NZL,2019,2.170174,1.670557,1.411302,1.881057,1.885101,1.535292,WWGI
Niue,NIU,2019,,,1.326901,,,1.325362,WWGI
Pakistan,PAK,2019,-0.8666273,-0.6771356,-2.265187,-0.6441157,-0.6674315,-0.8628094,WWGI
Palau,PLW,2019,-0.4486384,-0.0456735,0.8770632,-0.0075199,0.3144668,1.065452,WWGI
Papua New Guinea,PNG,2019,-0.9914853,-0.8091748,-0.6973711,-0.5426779,-0.8012539,0.0933476,WWGI
China,CHN,2019,-0.2951186,0.5170006,-0.2566892,-0.2445802,-0.2746037,-1.628118,WWGI
Philippines,PHL,2019,-0.5730505,0.0520084,-0.9151124,0.0083691,-0.4769835,0.0065084,WWGI
"Korea, Rep.",KOR,2019,0.7374385,1.376088,0.5512064,1.069908,1.194278,0.7514849,WWGI
Samoa,WSM,2019,0.6398521,0.4351541,1.157789,-0.2246639,1.079298,0.7788016,WWGI
Solomon Islands,SLB,2019,-0.0071937,-0.9993162,0.5082222,-0.8320891,-0.1392097,0.4898392,WWGI
Sri Lanka,LKA,2019,-0.2891587,-0.1143393,-0.2176228,-0.1844314,-0.0118801,-0.0884782,WWGI
Tajikistan,TJK,2019,-1.320806,-1.048751,-0.5208747,-1.01063,-1.227982,-1.796872,WWGI
Thailand,THA,2019,-0.4113744,0.3565671,-0.4836834,0.1164975,0.1031694,-0.8468075,WWGI
Timor-Leste,TLS,2019,-0.3830416,-0.8858545,0.2336398,-0.7848517,-1.11124,0.3573884,WWGI
Tonga,TON,2019,-0.3470466,0.1606909,1.032307,-0.3276921,0.460519,0.6330363,WWGI
Turkmenistan,TKM,2019,-1.510924,-1.157497,-0.1852784,-1.956706,-1.415011,-2.185215,WWGI
Tuvalu,TUV,2019,0.4090157,-0.6488501,1.196917,-0.5577604,0.4823242,1.19603,WWGI
Uzbekistan,UZB,2019,-1.025923,-0.5141267,-0.2848197,-0.9922252,-1.048056,-1.653185,WWGI
Vanuatu,VUT,2019,-0.2589588,-0.5476381,1.021924,-0.4605931,0.1790091,0.6803695,WWGI
Vietnam,VNM,2019,-0.5156115,0.0383097,0.0254956,-0.2619721,-0.0165804,-1.405681,WWGI
Nepal,NPL,2020,-0.5777507,-0.9444261,-0.1973841,-0.6962198,-0.4909703,-0.0885782,WWGI
Afghanistan,AFG,2020,-1.475405,-1.523115,-2.729808,-1.378587,-1.807697,-1.083459,WWGI
Armenia,ARM,2020,0.031597,-0.1242361,-0.5712944,0.2500479,-0.0832231,0.0446616,WWGI
Australia,AUS,2020,1.665165,1.619163,0.8487522,1.816904,1.651188,1.304121,WWGI
Azerbaijan,AZE,2020,-1.048197,-0.1702325,-0.7252154,-0.3147717,-0.6910434,-1.545741,WWGI
Bangladesh,BGD,2020,-0.9782742,-0.7878783,-0.9173985,-0.9019138,-0.5731802,-0.7691441,WWGI
Bhutan,BTN,2020,1.648439,0.3731863,1.021578,-0.3105174,0.5941438,0.1519855,WWGI
Brunei Darussalam,BRN,2020,1.28122,1.438427,1.123706,0.9141998,0.9311345,-0.9322214,WWGI
Cambodia,KHM,2020,-1.231246,-0.4194071,-0.2358826,-0.6164084,-0.9458001,-1.358499,WWGI
Cook Islands,COK,2020,,,1.107087,,,0.9179072,WWGI
"Micronesia, Fed. Sts.",FSM,2020,0.8805574,-0.0826501,1.075389,-0.9548313,0.0900509,1.128635,WWGI
Fiji,FJI,2020,0.6391488,0.3018749,0.7479544,-0.1703498,0.1097826,0.0341039,WWGI
Georgia,GEO,2020,0.5959197,0.787501,-0.4307931,1.108767,0.2859657,0.0554018,WWGI
"Hong Kong SAR, China",HKG,2020,1.649827,1.662403,0.0922063,1.787972,1.590243,0.0384611,WWGI
India,IND,2020,-0.2448308,0.3865438,-0.8619818,-0.1377745,-0.0177096,0.1498907,WWGI
Indonesia,IDN,2020,-0.3974239,0.3691624,-0.5002089,0.0776586,-0.3387444,0.0996764,WWGI
Japan,JPN,2020,1.49587,1.596166,1.038876,1.353819,1.525137,0.9876988,WWGI
Kazakhstan,KAZ,2020,-0.3914681,0.1555083,-0.2600716,0.1395519,-0.3961428,-1.18816,WWGI
Kiribati,KIR,2020,0.4503273,-0.1362213,1.081049,-0.5734185,0.8797514,1.128981,WWGI
Kyrgyz Republic,KGZ,2020,-1.110902,-0.5401577,-0.4277135,-0.4046249,-0.9265748,-0.5941642,WWGI
Lao PDR,LAO,2020,-1.068325,-0.7660105,0.6778482,-0.8009471,-0.8496245,-1.795886,WWGI
Malaysia,MYS,2020,0.2494959,1.041389,0.1216756,0.7720808,0.6586787,-0.148041,WWGI
Maldives,MDV,2020,-0.3392963,-0.1140211,0.4120386,-0.4917062,-0.3330472,-0.3303811,WWGI
Marshall Islands,MHL,2020,-0.027704,-1.406187,0.5895172,-1.103951,0.0045259,1.136699,WWGI
Mongolia,MNG,2020,-0.463969,-0.3437614,0.793758,-0.0923367,-0.263761,0.3791947,WWGI
Myanmar,MMR,2020,-0.6537105,-0.9965181,-1.513142,-0.6322959,-1.17882,-0.9443119,WWGI
Nauru,NRU,2020,-0.4629044,-0.0764715,0.9350108,0.1107325,-0.7466934,0.4261846,WWGI
New Zealand,NZL,2020,2.150458,1.589406,1.486,1.877044,1.883367,1.596883,WWGI
Niue,NIU,2020,,,1.350626,,,1.15714,WWGI
Pakistan,PAK,2020,-0.8403147,-0.5459959,-1.853356,-0.7166667,-0.6917597,-0.8801562,WWGI
Palau,PLW,2020,-0.4629044,-0.0465997,0.8887936,0.0600498,-0.1902315,1.080369,WWGI
Papua New Guinea,PNG,2020,-0.5739502,-0.8467313,-0.7393168,-0.6815091,-0.7197714,0.0286327,WWGI
China,CHN,2020,-0.0658865,0.6479592,-0.291068,-0.0808021,-0.0595887,-1.648466,WWGI
Philippines,PHL,2020,-0.4816633,0.0608745,-0.7937949,0.0299304,-0.5518214,-0.1036209,WWGI
"Korea, Rep.",KOR,2020,0.7280666,1.415869,0.5591969,1.033297,1.183163,0.8158123,WWGI
Samoa,WSM,2020,0.6941885,0.5234683,1.155737,-0.2006688,0.8797514,0.8120753,WWGI
Solomon Islands,SLB,2020,0.0968989,-0.9127187,0.6357331,-0.8383006,-0.0995416,0.5541903,WWGI
Sri Lanka,LKA,2020,-0.31243,-0.0702101,-0.0465375,-0.1790705,-0.0452499,-0.0518834,WWGI
Tajikistan,TJK,2020,-1.320146,-0.7100464,-0.5178772,-1.017401,-1.217985,-1.783667,WWGI
Thailand,THA,2020,-0.4222212,0.3007005,-0.6245449,0.1833952,0.1213088,-0.8098914,WWGI
Timor-Leste,TLS,2020,-0.3236951,-0.80157,0.177466,-0.7758869,-1.172515,0.3716898,WWGI
Tonga,TON,2020,-0.3533451,0.1563914,1.019067,-0.3949929,0.4389693,0.6396024,WWGI
Turkmenistan,TKM,2020,-1.542138,-1.157503,-0.2890817,-1.992943,-1.406723,-2.032845,WWGI
Tuvalu,TUV,2020,0.4863857,-0.6513966,1.182583,-0.49174,0.5269589,1.175454,WWGI
Uzbekistan,UZB,2020,-1.050585,-0.507029,-0.4365745,-0.9449065,-1.062817,-1.537607,WWGI
Vanuatu,VUT,2020,-0.148917,-0.4613378,0.8966386,-0.4296038,0.2397133,0.6093988,WWGI
Vietnam,VNM,2020,-0.3527095,0.2003077,-0.0734304,-0.1479097,-0.133932,-1.38047,WWGI
