country_name,iso,year,value.Control of Corruption: Estimate,value.Government Effectiveness: Estimate,value.Political Stability and Absence of Violence/Terrorism: Estimate,value.Regulatory Quality: Estimate,value.Rule of Law: Estimate,value.Voice and Accountability: Estimate,data_source
Georgia,GEO,2012,0.4010559,0.6057203,-0.680454,0.6936821,-0.0145602,0.0215808,WWGI
"Hong Kong SAR, China",HKG,2012,1.740234,1.834511,1.006289,1.948253,1.580348,0.6397095,WWGI
India,IND,2012,-0.5132697,-0.1710446,-1.28931,-0.4727815,-0.0719577,0.3994542,WWGI
Indonesia,IDN,2012,-0.6397947,-0.273001,-0.5932628,-0.2787625,-0.5756522,0.0676126,WWGI
Japan,JPN,2012,1.626548,1.415494,0.9484429,1.143813,1.357793,1.101295,WWGI
Kazakhstan,KAZ,2012,-0.9190874,-0.4403299,-0.408455,-0.3750818,-0.6845782,-1.176721,WWGI
Kiribati,KIR,2012,0.0063897,-0.7959709,1.290351,-1.32738,0.1416606,0.7746087,WWGI
Kyrgyz Republic,KGZ,2012,-1.149493,-0.649578,-0.9112514,-0.3320781,-1.129424,-0.6110972,WWGI
Lao PDR,LAO,2012,-1.019289,-0.8377884,0.033739,-0.81996,-0.8515942,-1.643571,WWGI
Malaysia,MYS,2012,0.2374538,0.9197366,-0.0052124,0.5704837,0.4650094,-0.3465392,WWGI
Maldives,MDV,2012,-0.7027921,-0.2152527,-0.3651715,-0.3797219,-0.5417812,-0.4686553,WWGI
Marshall Islands,MHL,2012,-0.2639839,-1.440469,1.0264,-1.047201,0.0284789,1.103286,WWGI
Mongolia,MNG,2012,-0.535103,-0.6362302,0.4711348,-0.2068852,-0.3754402,0.065475,WWGI
Myanmar,MMR,2012,-1.063255,-1.481443,-0.943675,-1.834624,-1.354667,-1.620119,WWGI
Nauru,NRU,2012,-0.0176011,-0.5563569,1.0264,-1.186479,0.732357,1.095533,WWGI
New Zealand,NZL,2012,2.31576,1.800852,1.361366,1.852507,1.890485,1.617722,WWGI
