iso,country_name,year,EPI,HLT,AIR,H2O,HMT,ECO,BDH,FSH,CCH,APE,WRS,AGR,HAD,PMD,PMW,USD,UWD,PBD,MPA,TBN,TBG,SPI,PAR,SHI,TCL,FSS,RMS,DCT,DPT,DMT,DNT,DBT,DST,DXT,WWT,SNM,OZD,WMG,MSW,BHV,ECS,GRL,WTL,FGT,CDA,CHA,FGA,NDA,BCA,LCB,GIB,GHP,SDA,NXA,data_source
AZE,Azerbaijan,2020,46.5,32.7,24.9,45.5,41,55.7,56.9,,48.6,100,3.8,64.3,40.7,12.7,,44.3,46.4,41,,50.7,62.2,77.3,11.7,96,80.2,,,,,,,,,,3.8,64.3,33.1,0,0,44.4,80.5,65.2,100,,42.4,43.8,88.9,60.9,37.4,100,27.7,40.3,100,100,Yale EPI
BDI,Burundi,2020,27,21.9,36,5.3,35.8,30.5,52.3,,16.8,45.7,0,37,7.4,57.9,,5.4,5.2,35.8,,46.7,46.7,67.1,25.3,90.7,32.7,,,,,,,,,,0,37,24.1,0,0,48.5,34.7,66.5,39.2,,4.3,26.6,,39.8,41.3,47,20.8,100,45.2,46.2,Yale EPI
BEL,Belgium,2020,73.3,86,80.7,93.6,67.4,64.8,87.4,9,70.2,100,67.9,47.3,100,69.8,,94.6,92.9,67.4,100,100,100,100,56.2,74.4,29,,16.5,,,,,,,,67.9,47.3,45.7,97.6,97.6,43.8,32.5,73.7,53.9,0.1,57.9,100,93.6,100,100,44.5,47.1,19.6,100,100,Yale EPI
BEN,Benin,2020,30,20.3,25.6,13.4,36.8,36.4,67,11.7,30.7,33.4,0,42.7,9,37.5,,13.3,13.5,36.8,0,100,100,87.6,46,86.4,20.4,,11.7,,,,,,,,0,42.7,27.1,5.8,5.8,50.2,24.4,20.8,100,,23.4,44.5,,44.4,11.9,50.4,37.2,85.7,43.5,23.3,Yale EPI
BFA,Burkina Faso,2020,38.3,19.6,28.9,7.7,29.7,50.9,77.8,,31.9,40.6,0,39.7,6.2,44.7,,7.7,7.8,29.7,,87.2,87.2,99.6,35.1,85.6,100,,,,,,,,,,0,39.7,37.4,10.2,10.2,53,95.5,65.7,43.9,,21.6,37.2,,43.5,44.5,84.2,55.2,79.7,47.7,33.5,Yale EPI
BGD,Bangladesh,2020,29,22.4,20.2,27.3,23.2,33.5,46.8,19.6,35.6,15.3,0,49.9,16,24.2,,28,26.8,23.2,29.9,18.2,88.9,52.2,4.7,92.7,20.3,34.5,12.1,,,,,,,,0,49.9,9.2,5,5,44.7,22.8,47.3,44.5,11,19.7,65,,56.6,51,29.1,62.2,89.7,4.8,25.7,Yale EPI
BGR,Bulgaria,2020,57,50.3,33,68.3,45.8,61.5,77.7,12.9,69.5,100,13.9,63.6,38.2,28.2,,84,57.8,45.8,55.8,100,100,100,37,83.6,41,,16.6,,,,,,,,13.9,63.6,45.7,83.6,83.6,44.8,41.4,51.8,38.9,8.7,60.2,100,82.2,58.2,100,77.4,50.3,29.8,100,100,Yale EPI
BHR,Bahrain,2020,51,49.2,41.2,56.6,58.7,52.2,18.9,0,67.1,93.1,86.9,33.2,77.4,16.5,,66.6,49.9,58.7,10.3,14.7,14.7,,2,,,,0,,,,,,,,86.9,33.2,23.1,60.4,60.4,69.7,100,,100,,73,27.1,95.7,56.1,100,,77,0,95.1,91.1,Yale EPI
BHS,Bahamas,2020,43.5,53.1,55.6,55,67.1,37,78.8,9.9,28.7,18,1.4,14,67.5,46,,65.8,47.7,67.1,71.3,100,100,32.5,51.7,99.4,25.4,9.4,10.4,,,,,,,,1.4,14,66.6,0,0,62.3,31.6,98,76.1,,24.1,56.9,,44,0,42.9,0,29.9,18.7,17.4,Yale EPI
BIH,Bosnia and Herzegovina,2020,45.4,43.9,31.6,61.4,42.9,46.4,32.9,,57.5,78.1,1.1,25.1,33.5,29.3,,67.8,57.1,42.9,,8.1,13,41.5,41.8,88.3,54.3,,,,,,,,,,1.1,25.1,40.8,27.9,27.9,49,53.4,47.3,43,,52.9,69.5,90.6,24.8,75.7,62.6,32.8,28.6,64.8,91.3,Yale EPI
BLR,Belarus,2020,53,55.9,49.9,60.5,57.7,51.1,61.2,,53.1,80.4,7.2,45.9,70.6,34.1,,60.3,60.6,57.7,,54.1,54.1,99.2,27.5,91.3,24.1,,,,,,,,,,7.2,45.9,58.6,77.5,77.5,55.1,27.9,68.8,54.9,,57.7,54.8,89.6,0,15.7,62.6,26.4,19,100,60.8,Yale EPI
BLZ,Belize,2020,41.9,40.3,39.4,42.6,54.5,43,87.9,19.8,37.7,11.4,0.6,19.9,37.1,40.2,,47.4,39.5,54.5,100,99.3,96.6,95.2,98.6,35.9,21.4,,19.8,,,,,,,,0.6,19.9,48.6,17,17,57.2,23.5,39.4,44.2,,41.6,46.5,,0,11.1,42.9,17.7,63.2,22.7,0,Yale EPI
BOL,Bolivia,2020,44.3,35.9,32.4,40,43.7,49.8,83.6,,40,26.4,3.5,68.9,28.4,34.5,,42.5,38.3,43.7,,97.1,96.7,90.3,50.5,75,28.2,,,,,,,,,,3.5,68.9,39.8,31.1,31.1,65.8,30,47.6,43.6,,29.6,48.6,91.3,56.5,2.7,58.2,45.2,26.3,38.1,14.6,Yale EPI
BRA,Brazil,2020,51.2,49.7,50,46.1,58.9,52.2,78.1,8.3,51.7,54,49.3,65,42.3,56.6,,47.7,45.1,58.9,100,87.3,80,86.5,51.8,45.4,24.6,8.3,,,,,,,,,49.3,65,38.6,65.8,65.8,63.1,27.9,65.5,49.6,,41.4,66.2,96.5,47.6,53.9,78.1,24.7,43.6,65.4,42.5,Yale EPI
BRB,Barbados,2020,45.6,60.7,66,51.9,70.4,35.6,12.6,18.4,59.1,53.3,1.1,11.9,96.5,40.7,,58.3,47.6,70.4,0.1,2.8,2.8,,50.4,,39.5,3.8,32.9,,,,,,,,1.1,11.9,100,67.2,67.2,39.2,37.1,21.9,9.6,,64.3,63,,67.9,8.2,35.3,49.6,45.7,29.2,77.3,Yale EPI
BRN,Brunei Darussalam,2020,54.8,74,68.4,85.6,68.4,42,59.2,9.3,50.9,41.8,6,0,75.8,63.4,,94.3,79.7,68.4,1.2,100,100,,12.7,,34.4,,12.6,,,,,,,,6,0,65,42.5,42.5,58.8,34.4,,,5.5,44,75.7,89.4,55.8,35.1,54.8,11.1,0,9.5,74,Yale EPI
BTN,Bhutan,2020,39.3,29.8,24.4,31.2,43.3,45.7,87.2,,24.7,18.2,0,50.2,18.6,30.6,,30.8,31.4,43.3,,100,100,98.3,50.7,96.6,56.4,,,,,,,,,,0,50.2,2.1,59.7,59.7,52.3,60.2,88.1,100,,0,80,,74.4,39.8,31.9,44.5,61.1,31.7,4.7,Yale EPI
BWA,Botswana,2020,40.4,20.2,19.7,20.8,39.8,53.8,91.6,,37.9,70,1,4.8,20.8,17.8,,21.9,20.1,39.8,,100,100,93.4,70.7,96,68.9,,,,,,,,,,1,4.8,31.4,0.7,0.7,72.5,66.1,49.5,34,,10.7,100,,100,6.6,84.6,100,30.5,95.8,44.2,Yale EPI
CAF,Central African Republic,2020,36.9,12.2,22,0,24,53.5,84.7,,45.4,51.8,0,21.9,2.8,36.8,,0,0,24,,97,97,91.7,34.1,98.5,48.6,,,,,,,,,,0,21.9,12.5,0,0,65.5,50.7,95.9,42.7,,38.6,72,,71.3,61.1,43.7,0,44.7,55.7,47.9,Yale EPI
CAN,Canada,2020,71,91.7,94.8,88,96.6,57.3,60.5,11,65.7,100,67.4,67.3,100,94.8,,83.9,90.8,96.6,27,62.8,67.5,98.2,28.8,81.2,26.7,5.1,20.8,,,,,,,,67.4,67.3,53,84.7,84.7,82.4,30.1,60.2,61.7,6.5,59.9,84.4,91.6,58.3,78.2,62,50.6,2.7,100,100,Yale EPI
CHE,Switzerland,2020,81.5,95,90.6,100,95,72.5,63,,81.6,100,96.7,47.6,100,87.8,,100,100,95,,44.7,53.3,100,69.6,85.8,46.1,,,,,,,,,,96.7,47.6,46.4,99,99,52.9,46.4,65.6,31.6,,76,100,93.1,91.9,100,71.8,62,41.5,100,100,Yale EPI
CHL,Chile,2020,55.3,63.4,56.1,68.1,97.8,49.8,65.3,16.6,54.3,34.6,71.9,40.2,59.5,53,,70.1,66.7,97.8,100,61.2,44.6,53.1,31.9,88.3,25.2,5.9,19.2,,,,,,,,71.9,40.2,62.1,65.7,65.7,68.4,27.5,55.7,41.9,26.1,43.5,79.8,77.9,100,20,54.9,46.2,39.2,50.5,18.7,Yale EPI
CHN,China,2020,37.3,41.8,27.1,59.4,37.6,34.4,19,18,46.3,58.6,9.4,49.5,33,23.4,,61.1,58.2,37.6,1.6,4.6,8.5,10.4,20.2,72.2,32.6,19.8,28.9,,,,,,,,9.4,49.5,20.3,51.8,51.8,57.6,34.3,56.1,43.7,3.3,38.7,39.3,88.9,57.2,38,35.7,77.3,27.7,75.8,41.5,Yale EPI
CIV,Cote d'Ivoire,2020,25.8,19.4,20.3,17.2,44.9,30.1,62,16.9,20.2,31.8,0.6,32,10.6,25.9,,17.7,16.9,44.9,1,100,98.1,95.1,45.1,32.3,11.8,10.2,23.6,,,,,,,,0.6,32,36.3,2.1,2.1,49.6,15.7,46.3,55.2,,6.6,40.4,,42.6,15.2,44.3,43.5,91.7,40.4,23.3,Yale EPI
CMR,Cameroon,2020,33.6,13.6,16.4,7.7,36.1,46.9,48.6,10.5,66.4,39.8,0,40.4,14.7,16.4,,8.3,7.4,36.1,0,57.5,68,59.4,27.4,85.3,30.3,,8.8,,,,,,,,0,40.4,29.6,10.2,10.2,63.1,31.5,47.8,35.8,12.5,50.5,100,100,62.4,77.3,25.9,79.7,80.7,39.1,40.4,Yale EPI
COD,Dem. Rep. Congo,2020,36.4,22.4,29.9,13.5,36.1,45.7,73.3,,40.1,47.8,0,31.7,9.8,45.4,,13.9,13.2,36.1,,80.6,79.8,86.2,27.7,78,25.2,,,,,,,,,,0,31.7,21.7,3.5,3.5,74,27.7,49.2,51.5,,25.9,56.9,,73.2,42.1,38.7,82,100,45.4,50.2,Yale EPI
COG,Republic of Congo,2020,30.8,18.1,20,14.6,45.1,39.2,71.7,11.4,37.1,0,0.3,34.3,18.7,20,,14.9,14.4,45.1,17.1,100,100,88.4,27.6,93.3,36.2,,11.4,,,,,,,,0.3,34.3,30.1,0,0,73.3,35.8,28.3,36.2,,8.3,100,89.5,58.1,0,32.9,63.5,68.8,0,0,Yale EPI
COL,Colombia,2020,52.9,55,49.1,55.8,61.9,51.6,76.8,15.8,55.4,52.5,25.6,22.3,46,50.1,,64.6,49.9,61.9,100,83.3,77.3,69.3,52.2,68.9,33.3,17.1,12.6,,,,,,,,25.6,22.3,62.5,100,100,56.4,36.4,62,66.6,18.1,39.1,90.3,81,98.2,25.8,70.5,57.2,57.2,58.5,46.4,Yale EPI
COM,Comoros,2020,32.1,27.3,37.7,15.2,47.1,35.3,36.3,18.6,41.7,44.5,0.1,37.3,11.5,54.7,,15,15.3,47.1,0.2,60,60,,14.1,,32.1,23.8,13.4,,,,,,,,0.1,37.3,60.1,0,0,35.6,35.7,100,,,35.3,25,89.5,59.8,53.5,0,28.8,100,47.4,41.6,Yale EPI
CPV,Cabo Verde,2020,32.8,30.4,26.5,35.5,59.5,34.5,14.3,20.7,39.5,35.1,20.9,16.7,30.3,21.4,,37.2,34.4,59.5,0,16.9,16.9,,2.1,,,10.6,30.8,,,,,,,,20.9,16.7,50.9,0,0,45.2,93.7,87.4,100,,30.6,54.7,,100,56.4,0,15.2,77.3,44.7,25.6,Yale EPI
CRI,Costa Rica,2020,52.5,60.5,56.2,66.1,53.8,47.2,70.1,10.8,54.8,33.6,9.7,19.4,54,57.4,,82.5,55.2,53.8,23.2,99,98,88.5,56.2,72.8,34.3,10.4,11,,,,,,,,9.7,19.4,61,64.8,64.8,43.4,35.4,58.3,33.9,10.9,43.3,63.4,89.6,45.7,86.5,83.2,45.5,63.3,55.1,12.1,Yale EPI
CUB,Cuba,2020,48.4,50.5,53.9,49.6,48.3,47,51.1,10,64.2,76.1,3.6,21.4,63.1,47.1,,55.2,45.9,48.3,15.1,58.9,69.3,45,33.5,95.7,21.3,2.9,17.2,,,,,,,,3.6,21.4,56.3,25.9,25.9,50.1,25.2,65.5,55.2,,49,93,89.5,69.5,100,93.5,46.1,48.4,62.5,89.6,Yale EPI
CYP,Cyprus,2020,64.8,81.5,73.1,93.9,69.4,53.7,56.5,20.2,63.1,91.5,50,27.7,97.7,58.8,,97.5,91.6,69.4,0.5,100,100,,14.6,,37.7,10.4,30,,,,,,,,50,27.7,34.2,77.5,77.5,36.4,38.6,54.9,38.8,,59.3,56.5,94.6,76.1,100,43.5,37.9,31.2,100,83.1,Yale EPI
CZE,Czech Republic,2020,71,68.3,58.8,76.4,76.4,72.9,85.7,,76.3,100,60.8,58.7,74.5,49.1,,93.5,65,76.4,,100,100,100,49.4,87,24,,,,,,,,,,60.8,58.7,40.7,89.5,89.5,48.9,26.7,75.6,26.8,,73.9,84.7,83.5,99.2,97,50.8,60.7,20.4,100,100,Yale EPI
DEU,Germany,2020,77.2,89.6,81.1,99,90.7,68.9,88.8,14,71.5,96,97,61.9,100,70.4,,100,98.4,90.7,100,100,100,99.9,56.4,86.1,38.2,4.9,34.5,,,,,,,,97,61.9,46.4,97.9,97.9,45.6,39.7,65.4,40.2,0.9,60.6,100,94.6,82.4,92.1,69.1,52.2,23.2,91.9,100,Yale EPI
DJI,Djibouti,2020,28.1,20.1,21.1,18.3,46.2,33.4,23,6.2,40.1,55.5,0,15.7,25,16.7,,18.6,18.1,46.2,1.8,7.8,7.8,32.9,7.6,90.9,,,6.2,,,,,,,,0,15.7,38.2,0,0,64.3,73.9,47.8,100,,23.8,57.6,,66.1,64.2,,100,74.8,70,41,Yale EPI
DMA,Dominica,2020,44.6,46.8,44.2,47.5,52.8,43.1,56.3,31,55.1,47.3,1,17.8,45.7,38,,53.7,43.3,52.8,0.4,80.2,85,,75.2,,0,,31,,,,,,,,1,17.8,100,62.4,62.4,44.3,5.3,100,,,51.9,74.5,,61.2,42.5,82.5,20.6,63.5,42.3,52.3,Yale EPI
DNK,Denmark,2020,82.5,91.7,85.5,97.4,100,76.4,81.7,13.2,95,100,100,73,100,78.8,,100,95.7,100,100,85.9,85.9,100,34.9,93.4,26.2,5.1,30.2,,,,,,,,100,73,43.1,99.8,99.8,44.5,30.2,72.7,60.6,2.8,100,100,100,69.7,100,61.9,82.8,31.8,100,100,Yale EPI
DOM,Dominican Republic,2020,46.3,36.1,37.4,38.9,30,53.2,81.6,21.8,56.1,79.3,5.8,24.2,37.8,34.8,,44.7,35.1,30,100,91.5,99,87.2,39.6,64.6,23.7,27.4,16.3,,,,,,,,5.8,24.2,63.3,5.7,5.7,44.1,26.6,63.4,43,,50.1,59.6,,59.8,91,60.6,69.2,59.1,85.7,72.9,Yale EPI
DZA,Algeria,2020,44.8,50.4,45.3,53.2,38.9,41,39,8.1,52.5,61.7,33.1,44.8,78.9,21.9,,59.6,49,38.9,0.6,43.2,45.9,47.3,7.1,80.7,17.3,1.9,14.3,,,,,,,,33.1,44.8,33.2,91.6,91.6,75.4,24,69.2,100,,36.6,100,90.7,28.4,61,28.7,41,44.6,100,23.5,Yale EPI
ECU,Ecuador,2020,51,50.2,48.7,50.2,63,51.5,77.3,13.5,60.2,28.4,0,29.2,50,46.2,,55.7,46.5,63,100,91,77.4,66.1,47.4,74.3,38.6,9,18,,,,,,,,0,29.2,66,53.6,53.6,48.9,38.3,36.2,34.4,,45.7,97.4,89.7,82,34.7,55.5,56.1,55.9,25.2,31.6,Yale EPI
EGY,Egypt,2020,43.3,33.8,35.3,36.6,13.5,49.7,50.6,12.1,55,56.3,42,53,85,0,,36.7,36.6,13.5,10.3,75.4,42.4,65.1,10.6,97,61.1,9.5,14.7,,,,,,,,42,53,24.9,16.3,16.3,77.1,62.5,100,50.6,,52.9,54.9,93.1,55.8,18,21,53.4,60.4,54.3,58.4,Yale EPI
ERI,Eritrea,2020,30.4,15.5,22.1,6.3,38.3,40.4,33.7,9,43.4,57.1,0,22.3,10.3,29.9,,6.3,6.3,38.3,0,28.9,28.1,55.8,10.7,97.3,100,18.1,0,,,,,,,,0,22.3,30.6,0,0,59.6,97.1,42.9,100,,29.5,62.1,,62.2,46.1,29.8,100,95,64.2,49.9,Yale EPI
ESP,Spain,2020,74.3,86.8,80.2,96.8,71.3,66,87.6,17.9,71.2,100,91.5,36.2,81.3,83.3,,100,94.6,71.3,100,100,100,98.1,46.7,90.1,21.9,7.3,36,,,,,,,,91.5,36.2,37.7,89,89,40.8,24.4,56.9,35.5,9.3,64.4,86.1,100,63.8,100,45.4,53.3,35.5,100,100,Yale EPI
EST,Estonia,2020,65.3,73,80.3,61.9,87.4,60.1,87,16.4,59,96.6,69.6,51.8,60.2,95.7,,66.1,59,87.4,100,100,100,100,31.3,78.2,17.1,36.2,8.3,,,,,,,,69.6,51.8,72.1,74.4,74.4,60.5,22.4,63.1,77.7,2.9,47.5,100,90.4,56.4,50.9,52.7,41.1,5.7,100,93.3,Yale EPI
ETH,Ethiopia,2020,34.4,25.2,38,10.9,35.8,40.6,72.2,,26.1,23.6,0,53.3,10.5,58.4,,10.6,11.2,35.8,,82.8,76.5,81,26.1,95.5,40.5,,,,,,,,,,0,53.3,33.5,0,0,56.7,42.2,53,60.3,,1.5,32.6,89.4,37.3,35.5,40.2,94.8,83.5,26.1,21.2,Yale EPI
FIN,Finland,2020,78.9,99.3,98.8,100,100,65.3,75.5,12.8,77,93.1,100,52.4,100,100,,100,100,100,100,72.8,72.8,99.6,26.4,61.6,18.4,22.9,12,,,,,,,,100,52.4,75.3,97.7,97.7,75.8,20.8,49,35,2.1,74.3,100,93.3,63.8,75.1,64.5,56.1,18.7,100,86.2,Yale EPI
FJI,Fiji,2020,34.4,34.7,30,34.6,77,34.2,25.1,59.7,36.9,53.2,3.9,11.1,22.6,31.5,,38.8,31.9,77,9.5,14.4,9,19,6.1,88.6,38.1,10.7,100,,,,,,,,3.9,11.1,73.9,40,40,72.1,38.1,,,69.9,18.6,79.1,,65.3,67.7,53.9,31.4,61.2,100,6.5,Yale EPI
FRA,France,2020,80,91.5,88.1,96.2,84,72.3,88.3,12.1,81.9,100,88,65.2,100,82.2,,100,93.6,84,100,100,100,100,50.2,88.6,33.6,14.4,,,,,,,,,88,65.2,58,94.8,94.8,43.8,36.1,70.6,45,9.4,79.5,100,93.9,69.5,100,61.3,56.7,36.7,100,100,Yale EPI
FSM,Micronesia,2020,33,30.8,29,35.5,41.5,34.5,6.9,32.7,39,58.8,0.1,19.4,17.4,31,,39.4,32.9,41.5,0.1,0,0,,3,,100,0,,,,,,,,,0.1,19.4,100,0,0,51.7,100,,,70.8,31.9,57.3,,45.7,77.8,,0,72,92.5,25,Yale EPI
GAB,Gabon,2020,45.8,27.9,28.2,27.6,54.1,57.8,86,7.3,63.8,90.2,0,20.6,42.2,16.1,,28.4,27.1,54.1,100,89.9,95.2,90.6,30.7,96.6,44.7,5.5,9.1,,,,,,,,0,20.6,49.5,0,0,71.5,44.7,42.8,45.2,,49.6,100,89.8,52.7,52.9,42.7,100,49.3,91,89.4,Yale EPI
GBR,United Kingdom,2020,81.3,91.7,84.7,100,94.6,74.3,88,8.8,90,100,98.5,54.3,100,75.4,,100,100,94.6,100,98.4,97.9,100,50.7,92.1,24,13.1,,,,,,,,,98.5,54.3,64.5,92.9,92.9,44.7,28.3,72.8,60.6,3.7,92.6,100,96.9,73,100,35.5,79.3,35.1,100,100,Yale EPI
GEO,Georgia,2020,41.3,38.7,31.1,51.6,49.9,43.1,46.2,4.4,50.1,0.9,46.6,16.9,29.3,31.9,,50.9,52.2,49.9,0,53.7,53.7,75.8,28.8,95.4,81.5,,5.5,,,,,,,,46.6,16.9,37.5,0,0,47.4,78,51.6,41.6,3.2,35.9,82.3,83.9,40.1,26.5,100,45.9,59.5,0,1.8,Yale EPI
GHA,Ghana,2020,27.6,20.1,18,20.8,55.3,32.6,58.9,9,29.6,31.5,0,41,17.8,17.1,,21.5,20.3,55.3,1.1,78.9,84.3,88.9,38.8,84.5,13.7,6.9,11.2,,,,,,,,0,41,29.2,0,0,48.4,15.4,43.8,17,,10.6,33.5,89.6,37.7,41.9,44.4,48.4,89.9,45.1,17.8,Yale EPI
GIN,Guinea,2020,26.4,18.6,24.7,11.2,32.9,31.5,59.9,14.4,26.8,30,0,35,6.1,37.8,,11.7,10.9,32.9,0,99.7,88.2,71.6,18.3,83.1,9.4,28.1,11.6,,,,,,,,0,35,30,2.5,2.5,50.5,11.5,9.4,50.4,1.7,30.2,5.2,,19,42,0,36.7,72.7,18.3,41.6,Yale EPI
GMB,Gambia,2020,27.9,21.4,23.9,19.1,37.1,32.1,32.6,10.6,35.8,53.9,0.1,36.1,10.5,32.7,,19.6,18.9,37.1,0,23.2,31.7,48.3,30.1,90.1,40.7,,7.5,,,,,,,,0.1,36.1,33.3,0,0,47.5,41.1,33.7,55.6,14.2,24,52.3,,78.9,42.6,57.7,25.6,93.8,55.9,51.8,Yale EPI
GNB,Guinea-Bissau,2020,29.1,15.1,22.1,6.7,28.5,38.4,72.2,5.2,33.6,56.1,0,27.5,6.4,32.8,,7,6.5,28.5,59.3,90.9,99.4,73.3,28.7,69.4,16,3.5,6.9,,,,,,,,0,27.5,29.2,0,0,51.3,22.1,54.6,100,,24.5,47.8,,44.3,56.4,14,42.1,85.1,63.7,48.5,Yale EPI
GNQ,Equatorial Guinea,2020,38.1,27.6,24.6,33.1,40.1,45.1,66,14.3,46.1,76.4,1.2,28.1,32.8,17.6,,38.6,29.5,40.1,1.9,100,100,75.6,35.7,82.1,30.7,15.8,21.5,,,,,,,,1.2,28.1,36.8,0,0,63.1,33.7,100,21.3,4.3,33.3,100,,74,76.3,3.7,0,24.7,77.8,74.9,Yale EPI
GRC,Greece,2020,69.1,80.6,67.5,98.2,69.4,61.4,72.6,15.7,66.5,78.9,81.7,52.6,84,57.6,,95.5,100,69.4,40.5,100,100,86,32.1,89.7,42.8,4.5,29.5,,,,,,,,81.7,52.6,43.4,83,83,37.2,43.9,62.9,44.1,12.7,58.5,88.6,90.3,82.5,80.7,67.5,28.8,27.4,85.8,72.1,Yale EPI
GRD,Grenada,2020,43.1,46.3,42.9,47,41.9,40.9,31.5,15.8,59,40,0.9,28.9,54.2,31.3,,51.2,44.2,41.9,1,51.2,18.7,,67.1,,40.2,,15.8,,,,,,,,0.9,28.9,79.8,78.8,78.8,42.9,43.6,49.5,100,,57.8,54.7,94.2,28.3,32.3,100,49.7,63.4,35.9,44.1,Yale EPI
GTM,Guatemala,2020,31.8,30.8,34.3,28.2,30.6,32.5,41.3,15.4,36.7,44.8,6.8,28.7,21.7,41.2,,29.9,27.1,30.6,0.2,76.6,50.2,56.8,53.4,0,18,15,15.9,,,,,,,,6.8,28.7,59.2,16.6,16.6,49.4,19.5,39.6,26.7,,26.5,43.6,89.6,34.5,0,72.1,24.7,76.9,69.6,20.1,Yale EPI
GUY,Guyana,2020,35.9,33.5,31.9,35.3,24.9,37.5,51,7.7,38.2,28.6,0,40.2,39.1,20.6,,39.4,32.5,24.9,0,48.9,56.5,57.8,78.2,94.5,50.6,7.3,8,,,,,,,,0,40.2,100,44.2,44.2,69.2,52.3,85.8,49.7,,36.3,28.1,,70.6,45.7,44.1,44.4,42.7,23.4,33.8,Yale EPI
HND,Honduras,2020,37.8,33.4,35.4,31.8,20.7,40.7,59.9,17.6,43.1,60.9,3.1,27.5,19.4,46.9,,33.2,30.8,20.7,39.6,79.9,79.4,75.2,52.4,24.2,16.9,16.5,18.7,,,,,,,,3.1,27.5,35.6,40.3,40.3,49.3,21.2,58.5,61.4,,37.7,62.8,,36.9,33.5,54.2,38.5,74.8,65.4,56.4,Yale EPI
HRV,Croatia,2020,63.1,61.2,50.8,70.2,75.1,64.3,82.6,11.8,70,90.8,51.7,65.4,58.3,46.4,,80.8,63.1,75.1,74.9,100,100,100,44.5,88.9,39,21.8,3.3,,,,,,,,51.7,65.4,39,80,80,42.6,40.3,49.3,55.6,10.1,59.4,93.2,93.4,100,80.7,62,49.7,38.9,100,81.7,Yale EPI
HTI,Haiti,2020,27,21.8,31.1,14,12.1,30.5,34.5,16.7,37,23.8,0,31.4,7.8,47.5,,14.4,13.8,12.1,6.9,38.3,53.7,31.1,30.9,44.1,22.8,18.9,14.5,,,,,,,,0,31.4,37.1,0.9,0.9,41,26.2,67.9,46.4,,34.8,29.5,,60.7,45.7,41.6,23.2,86.4,36.9,10.6,Yale EPI
HUN,Hungary,2020,63.7,54.1,42.8,62.2,68.2,70,82,,71.3,96.9,53.8,73.1,43.7,43,,64.7,60.5,68.2,,100,100,100,30.8,88.5,24.7,,,,,,,,,,53.8,73.1,33.5,89.2,89.2,37.1,28.2,76.1,43.4,,66.4,100,89.8,23.2,94.2,56.3,52.5,35.8,93.8,100,Yale EPI
IDN,Indonesia,2020,37.8,29,26.8,28.4,34.6,43.7,56.3,11.9,54.4,40.4,0,51.8,23.3,28.6,,33.9,24.8,34.6,29.6,66.2,83.3,71.7,20.2,46.8,19,11.9,16.3,,,,,,,,0,51.8,33.9,49.8,49.8,66.2,20.3,43.8,,6.7,52.1,30.2,100,51,57.1,41.2,67.6,58.5,68.3,12.6,Yale EPI
IND,India,2020,27.6,16.3,13.4,19.4,21,35.2,33.7,16.9,45,37.1,2.2,34.7,18.6,10.9,,21.4,18.1,21,1.2,28.2,37,63,8.7,85.9,31.8,17,19.9,,,,,,,,2.2,34.7,0,16.1,16.1,46.3,33.8,47.8,55,13.1,28.1,68.3,91,56.8,32.2,40,62.2,66.5,42.4,31.8,Yale EPI
IRL,Ireland,2020,72.8,94.2,94,97.4,82.7,58.6,65.8,9.1,66.6,100,89.7,47.3,100,91,,93.5,100,82.7,21.3,82.9,82.9,98.4,43.7,96.9,22.5,11.8,13.1,,,,,,,,89.7,47.3,79.5,81.7,81.7,45,27.4,71.2,72.6,1,65.1,43.8,92.9,66.2,100,91.5,80.4,13.3,100,100,Yale EPI
IRN,Iran,2020,48,48.3,49.2,53.6,27.4,47.8,38.4,13.8,55,80.8,3.7,33.8,82.8,26.5,,60.9,48.7,27.4,1.2,40.9,35.2,62.6,8.5,95.8,93.2,10.3,20.8,,,,,,,,3.7,33.8,29.4,19,19,62.8,88.8,52.1,45.4,9.6,42.3,51.5,100,67.3,72.8,87.2,86.1,21.8,99.6,62,Yale EPI
IRQ,Iraq,2020,39.5,39.5,36.3,49.6,29.6,39.4,40.5,,31.6,14.1,19.5,37.4,75.7,7.3,,55.5,45.8,29.6,,8.6,49.8,37.2,2.7,98.1,96.3,,,,,,,,,,19.5,37.4,40,0,0,69.5,91.8,49.4,54.9,,8,56,100,62,34.5,53.5,33,37,7.2,21.1,Yale EPI
ISL,Iceland,2020,72.3,98.1,98.1,100,96.1,55,63.2,10.1,60.8,44.4,15.6,18.5,100,100,,100,100,96.1,3.6,75.8,75.8,92.8,47.8,100,,2.8,24,,,,,,,,15.6,18.5,62.1,84.8,84.8,81.3,100,100,100,2.4,44.9,100,92.3,67.6,100,,34.4,8.4,11.6,77.3,Yale EPI
ISR,Israel,2020,65.8,83.6,76.5,92.8,92.1,54,47.6,45.5,56.9,97.8,81.7,34.9,100,62.6,,91.5,93.6,92.1,0.3,76.9,51.1,79.6,12.2,76.8,37,,45.5,,,,,,,,81.7,34.9,41.3,72.2,72.2,51,40.6,45.3,100,,57.5,39.3,91.3,58.6,47.7,45,62.8,26.7,95.7,100,Yale EPI
