country_name,iso,year,value.Gini index (World Bank estimate),GDP per capita (constant 2015 US$),value.GDP (constant 2015 US$),data_source
Tuvalu,TUV,2008,,3094.848068,31923357.82,World Bank
Uzbekistan,UZB,2008,,1917.849372,52362657829,World Bank
Vanuatu,VUT,2008,,2877.459988,646565259.4,World Bank
Vietnam,VNM,2008,35.6,1498.838365,1.29265E+11,World Bank
Afghanistan,AFG,2009,,472.8422916,13426265140,World Bank
Armenia,ARM,2009,28,2884.33947,8330243518,World Bank
Australia,AUS,2009,,53225.95104,1.15456E+12,World Bank
Azerbaijan,AZE,2009,,5023.790765,44949076754,World Bank
Bangladesh,BGD,2009,,931.9865061,1.36E+11,World Bank
Bhutan,BTN,2009,,2017.903478,1368802449,World Bank
Brunei Darussalam,BRN,2009,,32991.82358,12665627056,World Bank
Cambodia,KHM,2009,,854.9557547,12049408699,World Bank
"Micronesia, Fed. Sts.",FSM,2009,,3014.985957,310456119,World Bank
Fiji,FJI,2009,,4425.848024,3778063204,World Bank
Georgia,GEO,2009,38.2,2897.130877,11050871062,World Bank
"Hong Kong SAR, China",HKG,2009,,35938.36813,2.50591E+11,World Bank
India,IND,2009,35.4,1162.498808,1.41561E+12,World Bank
Indonesia,IDN,2009,35.1,2595.298759,6.19292E+11,World Bank
Japan,JPN,2009,,31651.08377,4.05283E+12,World Bank
Kazakhstan,KAZ,2009,28.2,8487.54483,1.36589E+11,World Bank
Kyrgyz Republic,KGZ,2009,29.9,982.3771732,5288431036,World Bank
Kiribati,KIR,2009,,1407.877867,142094297.4,World Bank
Lao PDR,LAO,2009,,1485.476562,9133632385,World Bank
Malaysia,MYS,2009,,7808.658008,2.16573E+11,World Bank
Maldives,MDV,2009,38.4,8222.044459,2905596513,World Bank
Marshall Islands,MHL,2009,,3013.133055,169503800,World Bank
Mongolia,MNG,2009,,2514.916555,6724368796,World Bank
Myanmar,MMR,2009,,825.6948861,41491470232,World Bank
Nauru,NRU,2009,,3728.923136,37084140.59,World Bank
Nepal,NPL,2009,,701.4083396,18856332840,World Bank
New Zealand,NZL,2009,,35263.67132,1.51725E+11,World Bank
Pakistan,PAK,2009,,1246.367912,2.18769E+11,World Bank
Palau,PLW,2009,,12773.3789,233625100,World Bank
Papua New Guinea,PNG,2009,41.9,2076.615061,14836945298,World Bank
China,CHN,2009,,5128.895068,6.82789E+12,World Bank
Philippines,PHL,2009,46.3,2304.836545,2.13E+11,World Bank
"Korea, Rep.",KOR,2009,,23948.47224,1.18085E+12,World Bank
Samoa,WSM,2009,,4092.554482,755293207.3,World Bank
Singapore,SGP,2009,,43255.4559,2.1574E+11,World Bank
Solomon Islands,SLB,2009,,1980.355223,1020243364,World Bank
Sri Lanka,LKA,2009,36.1,2750.201906,55343710053,World Bank
Tajikistan,TJK,2009,30.8,751.9463107,5537898095,World Bank
Thailand,THA,2009,39.6,4826.321427,3.22721E+11,World Bank
Timor-Leste,TLS,2009,,1103.863055,1185864626,World Bank
Tonga,TON,2009,37.5,3742.049778,388787745.8,World Bank
Turkmenistan,TKM,2009,,3968.373007,19873425505,World Bank
Tuvalu,TUV,2009,,2929.822607,30508242.81,World Bank
Uzbekistan,UZB,2009,,2037.581498,56578340499,World Bank
Vanuatu,VUT,2009,,2893.465354,666203037,World Bank
Vietnam,VNM,2009,,1564.347486,1.36243E+11,World Bank
Afghanistan,AFG,2010,,526.1036756,15354604612,World Bank
Armenia,ARM,2010,30,2958.838999,8513508876,World Bank
Australia,AUS,2010,34.7,53542.83372,1.17964E+12,World Bank
Azerbaijan,AZE,2010,,5215.020912,47218530722,World Bank
Bangladesh,BGD,2010,32.1,972.9096877,1.43578E+11,World Bank
Bhutan,BTN,2010,,2235.322677,1532318166,World Bank
Brunei Darussalam,BRN,2010,,33437.12173,12994802365,World Bank
Cambodia,KHM,2010,,892.1004421,12767924407,World Bank
"Micronesia, Fed. Sts.",FSM,2010,,3084.75391,317470533.4,World Bank
Fiji,FJI,2010,,4523.866264,3889692596,World Bank
Georgia,GEO,2010,39.5,3100.723427,11741493897,World Bank
"Hong Kong SAR, China",HKG,2010,,38089.77894,2.6755E+11,World Bank
India,IND,2010,,1244.366016,1.5359E+12,World Bank
