iso,year,data_source,country_name,ims_both_sex,ims_male,ims_female,totalpop_both_in_thou,totalpop_male_in_though,totalpop_female_in_thou,ims_percent_totalpop_both_sex,ims_percent_totalpop_male,ims_percent_totalpop_female,female_migrants_perc_ims,estimated_refugee_stock_incl_asylum_seekers_both_sexes,refugees_asylum_seekers_perc_ims
BRN,2020,UNDESA,   Brunei Darussalam,111959,63407,48552,437.48,226.99,210.5,25.59,27.93,23.07,43.37,,
KHM,2020,UNDESA,   Cambodia,79341,42730,36611,16718.97,8162.42,8556.55,0.47,0.52,0.43,46.14,27,0.03
CHN,2020,UNDESA,   China*,1039675,637952,401723,1439323.77,738247.34,701076.43,0.07,0.09,0.06,38.64,304041,29.24
HKG,2020,UNDESA,"   China, Hong Kong SAR*",2962492,1107970,1854522,649.34,312.1,337.24,39.52,32.21,45.71,62.6,130,0
TWN,2020,UNDESA,"   China, Taiwan Province of China*",,,,23816.78,11834.31,11982.46,,,,,,
COK,2020,UNDESA,   Cook Islands*,4579,2290,2289,17.56,,,26.07,,,49.99,,
FJI,2020,UNDESA,   Fiji,14087,7601,6486,896.44,454.02,442.43,1.57,1.67,1.47,46.04,20,0.14
GEO,2020,UNDESA,   Georgia*,79368,34879,44489,3989.18,1901.23,2087.95,1.99,1.83,2.13,56.05,2486,3.13
IND,2020,UNDESA,   India,4878704,2273912,2604792,1380004.39,717100.97,662903.42,0.35,0.32,0.39,53.39,207334,4.25
IDN,2020,UNDESA,   Indonesia,355505,206538,148967,273523.62,137717.86,135805.76,0.13,0.15,0.11,41.9,13657,3.84
JPN,2020,UNDESA,   Japan,2770996,1347156,1423840,126476.46,61753.05,64723.41,2.19,2.18,2.2,51.38,30588,1.1
KAZ,2020,UNDESA,   Kazakhstan,3732073,1850097,1881976,18776.71,9112.94,9663.77,19.88,20.3,19.47,50.43,742,0.02
KIR,2020,UNDESA,   Kiribati,3126,1650,1476,119.45,58.74,60.7,2.62,2.81,2.43,47.22,,
KGZ,2020,UNDESA,   Kyrgyzstan,199011,80456,118555,6524.19,3227.27,3296.92,3.05,2.49,3.6,59.57,517,0.26
LAO,2020,UNDESA,   Lao People's Democratic Republic,48731,31393,17338,7275.56,3651.79,3623.76,0.67,0.86,0.48,35.58,,
MYS,2020,UNDESA,   Malaysia*,3476560,2156265,1320295,32366,16630.81,15735.19,10.74,12.97,8.39,37.98,179744,5.17
MDV,2020,UNDESA,   Maldives,70079,61437,8642,540.54,342.93,197.61,12.96,17.92,4.37,12.33,,
MHL,2020,UNDESA,   Marshall Islands,3298,2021,1277,59.19,,,5.57,,,38.72,,
FSM,2020,UNDESA,   Micronesia (Fed. States of),2832,1515,1317,115.02,58.48,56.54,2.46,2.59,2.33,46.5,,
MNG,2020,UNDESA,   Mongolia,21345,14263,7082,3278.29,1615.04,1663.25,0.65,0.88,0.43,33.18,10,0.05
MMR,2020,UNDESA,   Myanmar,76446,41898,34548,54409.79,26220.19,28189.6,0.14,0.16,0.12,45.19,,
NRU,2020,UNDESA,   Nauru,2201,1297,904,10.83,,,20.32,,,41.07,1179,53.57
NPL,2020,UNDESA,   Nepal,487564,146930,340634,29136.81,13348.44,15788.37,1.67,1.1,2.16,69.86,19634,4.03
NZL,2020,UNDESA,   New Zealand*,1381724,668164,713560,4822.23,2370.16,2452.07,28.65,28.19,29.1,51.64,3326,0.24
NIU,2020,UNDESA,   Niue*,588,319,269,1.62,,,36.34,,,45.75,,
PAK,2020,UNDESA,   Pakistan,3276580,1812804,1463776,220892.33,113672.01,107220.32,1.48,1.59,1.37,44.67,1428147,43.59
PLW,2020,UNDESA,   Palau,5088,2888,2200,18.09,,,28.12,,,43.24,,
PNG,2020,UNDESA,   Papua New Guinea,31068,18895,12173,8947.03,4568.07,4378.96,0.35,0.41,0.28,39.18,9840,31.67
PHL,2020,UNDESA,   Philippines,225525,117105,108420,109581.09,55028.83,54552.26,0.21,0.21,0.2,48.07,1023,0.45
KOR,2020,UNDESA,   Republic of Korea,1728182,958365,769817,51269.18,25665.85,25603.33,3.37,3.73,3.01,44.54,28792,1.67
WSM,2020,UNDESA,   Samoa,4021,2031,1990,198.41,102.7,95.71,2.03,1.98,2.08,49.49,,
SGP,2020,UNDESA,   Singapore,2523648,1112517,1411131,5850.34,3062.26,2788.09,43.14,36.33,50.61,55.92,,
SLB,2020,UNDESA,   Solomon Islands,2520,1415,1105,686.88,349.26,337.62,0.37,0.41,0.33,43.85,,
LKA,2020,UNDESA,   Sri Lanka,40254,21196,19058,21413.25,10267.35,11145.9,0.19,0.21,0.17,47.34,1406,3.49
TJK,2020,UNDESA,   Tajikistan,276031,119174,156857,9537.64,4805.74,4731.9,2.89,2.48,3.31,56.83,5204,1.89
THA,2020,UNDESA,   Thailand,3632496,1821857,1810639,69799.98,33966.06,35833.92,5.2,5.36,5.05,49.85,98418,2.71
TLS,2020,UNDESA,   Timor-Leste,8399,5076,3323,1318.44,666.24,652.2,0.64,0.76,0.51,39.56,,
TON,2020,UNDESA,   Tonga,3742,2044,1698,105.7,52.9,52.79,3.54,3.86,3.22,45.38,,
TKM,2020,UNDESA,   Turkmenistan,194920,92357,102563,6031.19,2969.31,3061.88,3.23,3.11,3.35,52.62,22,0.01
TUV,,UNDESA,   Tuvalu,239,132,107,11.79,,,2.03,,,44.77,,
UZB,2020,UNDESA,   Uzbekistan,1162007,543364,618643,33469.2,16696.92,16772.28,3.47,3.25,3.69,53.24,14,0
VUT,2020,UNDESA,   Vanuatu,3257,1619,1638,307.15,155.69,151.46,1.06,1.04,1.08,50.29,,
VNM,2020,UNDESA,   Viet Nam,76767,44471,32296,97338.58,48598.25,48740.33,0.08,0.09,0.07,42.07,,
KAZ,2005,UNDESA,   Kazakhstan,3103027,1472820,1630207,15402.803,7419.259,7983.544,20.14585917,19.8513086,20.4195906,,7330,0.236220955
KGZ,2005,UNDESA,   Kyrgyzstan,309399,128064,181335,5075.34,2515.732,2559.608,6.096123609,5.090526336,7.084483249,,3096,1.000649647
TJK,2005,UNDESA,   Tajikistan,280466,121403,159063,6789.318,3413.086,3376.232,4.130989298,3.556986258,4.711257994,,1040,0.370811435
TKM,2005,UNDESA,   Turkmenistan,213053,101214,111839,4754.652,2338.888,2415.764,4.480937827,4.327441075,4.629549906,,11965,5.61597349
UZB,2005,UNDESA,   Uzbekistan,1329932,589690,740242,26427.785,13130.436,13297.349,5.032324881,4.49101614,5.566838924,,44537,3.348817834
CHN,2005,UNDESA,   China,678947,379920,299027,1330776.38,683485.9,647290.48,0.051018865,0.055585638,0.046196725,,301125,44.35176825
HKG,2005,UNDESA,"   China, Hong Kong SAR",2721235,1185121,1536114,6769.579,3252.142,3517.437,40.19799459,36.44124396,43.67140051,,3031,0.111383251
TWN,2005,UNDESA,"   China, Taiwan Province of China",,,,22705.719,11494.109,11211.61,,,,,,
JPN,2005,UNDESA,   Japan,2011555,931198,1080357,128326.115,62885.586,65440.529,1.567533623,1.480781303,1.650898941,,2474,0.122989429
MNG,2005,UNDESA,   Mongolia,11477,7577,3900,2526.429,1256.92,1269.509,0.454277559,0.602822773,0.307205384,,,
KOR,2005,UNDESA,   Republic of Korea,486065,284305,201760,48701.069,24430.938,24270.131,0.998058174,1.163708901,0.831309893,,588,0.120971475
BRN,2005,UNDESA,   Brunei Darussalam,98441,55265,43176,365.112,186.429,178.683,26.96186376,29.64399316,24.16346267,,,
KHM,2005,UNDESA,   Cambodia,114096,57545,56551,13273.355,6442.005,6831.35,0.859586744,0.893277792,0.827815878,,195,0.170908708
IDN,2005,UNDESA,   Indonesia,289310,165287,124023,226289.468,113592.387,112697.081,0.127849521,0.145508871,0.110049878,,147,0.050810549
LAO,2005,UNDESA,   Lao People's Democratic Republic,20371,10930,9441,5751.675,2845.939,2905.736,0.354175088,0.384056018,0.324909076,,,
MYS,2005,UNDESA,   Malaysia,1918504,1133541,784963,25690.615,13168.052,12522.563,7.467723135,8.608266432,6.268389307,,44531,2.321131465
MMR,2005,UNDESA,   Myanmar,83025,44506,38519,48949.931,23671.965,25277.966,0.169612088,0.18801143,0.152381722,,,
